TRACK_ID,ID,POSITION_T,element,pathString,event
0,2023,29.25,leaf,attachment/2010/2023,invasion
0,2014,15.75,leaf,attachment/2010/2014,invasion
1,2029,10.75,leaf,attachment/2029,invasion
2,2051,38.25,leaf,attachment/2034/2051,remains
2,2042,38.25,leaf,attachment/2034/2042,invasion
4,2107,12.5,leaf,attachment/2107,invasion
5,2122,18.25,leaf,attachment/2113/2122,invasion
5,2117,16.5,leaf,attachment/2113/2117,invasion
6,2128,15.25,leaf,attachment/2128,remains
7,2133,2.75,leaf,attachment/2133,invasion
8,2139,2,leaf,attachment/2139,invasion
9,2184,22.75,leaf,attachment/2180/2184,invasion
9,2191,24.75,leaf,attachment/2180/2191,invasion
10,2197,18,leaf,attachment/2197,invasion
11,2216,16.75,leaf,attachment/2203/2216,invasion
11,2207,9.5,leaf,attachment/2203/2207,invasion
12,2229,23.5,leaf,attachment/2225/2229,invasion
12,2238,31.25,leaf,attachment/2225/2238,invasion
13,2243,2.75,leaf,attachment/2243,invasion
14,2273,42.5,leaf,attachment/2266/2273,remains
14,2257,30,leaf,attachment/2257,invasion
14,2270,42.5,leaf,attachment/2266/2270,remains
15,2279,27,leaf,attachment/2279,remains
16,2284,4.25,leaf,attachment/2284,invasion
17,2292,14.5,leaf,attachment/2292,invasion
18,2298,3,leaf,attachment/2298,invasion
19,2304,3.25,leaf,attachment/2304,invasion
20,2344,16.25,leaf,attachment/2344,invasion
21,2354,24.25,leaf,attachment/2354,invasion
22,2360,18,leaf,attachment/2360,invasion
23,2366,5.25,leaf,attachment/2366,invasion
24,2372,15.5,leaf,attachment/2372,invasion
25,2378,5,leaf,attachment/2378,invasion
26,2392,30.25,leaf,attachment/2384/2392,invasion
26,2397,30,leaf,attachment/2384/2397,invasion
27,2424,37.75,leaf,attachment/2403/2424,invasion
27,2413,38.75,leaf,attachment/2403/2413,remains
28,2433,9,leaf,attachment/2433,invasion
29,2439,3.5,leaf,attachment/2439,invasion
30,2451,52.75,leaf,attachment/2445/2451,remains
30,2462,52.75,leaf,attachment/2445/2462,remains
31,2469,13.5,leaf,attachment/2469,invasion
32,2474,4.25,leaf,attachment/2474,invasion
33,2480,13.75,leaf,attachment/2480,invasion
34,2584,38.25,leaf,attachment/2574/2584,invasion
34,2580,38.5,leaf,attachment/2574/2580,invasion
0,2010,14.25,node,attachment/2010,NA
2,2034,7,node,attachment/2034,NA
5,2113,14.5,node,attachment/2113,NA
9,2180,3.25,node,attachment/2180,NA
11,2203,6.25,node,attachment/2203,NA
12,2225,14,node,attachment/2225,NA
14,2266,34.75,node,attachment/2266,NA
26,2384,9.25,node,attachment/2384,NA
27,2403,5,node,attachment/2403,NA
30,2445,20.5,node,attachment/2445,NA
34,2574,7.75,node,attachment/2574,NA
NA,NA,0,NA,attachment,NA
