TRACK_ID,ID,POSITION_T,element,pathString,event
0,2786,24,leaf,attachment/2784/2786,invasion
0,2789,59.75,leaf,attachment/2784/2789,remains
1,2801,59.25,leaf,attachment/2799/2801,remains
1,2804,59.25,leaf,attachment/2799/2804,remains
2,2811,45,leaf,attachment/2809/2811,remains
2,2814,45,leaf,attachment/2809/2814,remains
4,2832,56.25,leaf,attachment/2830/2832,remains
4,2835,56.25,leaf,attachment/2830/2835,remains
5,2842,37,leaf,attachment/2840/2842,remains
5,2845,37,leaf,attachment/2840/2845,remains
6,2852,43.75,leaf,attachment/2850/2852,remains
6,2855,43.75,leaf,attachment/2850/2855,remains
7,2865,57,leaf,attachment/2860/2865,remains
7,2862,57,leaf,attachment/2860/2862,remains
8,2873,34,leaf,attachment/2871/2873,remains
8,2876,34,leaf,attachment/2871/2876,remains
9,2883,29.25,leaf,attachment/2881/2883,remains
9,2886,29.25,leaf,attachment/2881/2886,remains
10,2892,58.75,leaf,attachment/2892,remains
11,2898,49.5,leaf,attachment/2898,detach
12,2906,37.25,leaf,attachment/2904/2906,remains
12,2909,57.5,leaf,attachment/2904/2909,remains
13,2920,58.25,leaf,attachment/2915/2920,remains
13,2917,58.25,leaf,attachment/2915/2917,remains
14,2928,17.5,leaf,attachment/2926/2928,detach
14,2931,32.75,leaf,attachment/2926/2931,detach
15,2940,56.5,leaf,attachment/2940,remains
16,2952,31.75,leaf,attachment/2947/2952,remains
16,2949,31.75,leaf,attachment/2947/2949,remains
17,2962,23.75,leaf,attachment/2957/2962,detach
17,2959,19.5,leaf,attachment/2957/2959,detach
18,2970,45.25,leaf,attachment/2968/2970,remains
18,2973,24.5,leaf,attachment/2968/2973,detach
19,2984,28.5,leaf,attachment/2979/2984,detach
19,2981,48.75,leaf,attachment/2979/2981,remains
20,2992,46.75,leaf,attachment/2990/2992,remains
20,2995,34.75,leaf,attachment/2990/2995,detach
21,3001,6.5,leaf,attachment/3001,detach
22,3007,18.5,leaf,attachment/3007,detach
23,3049,59,leaf,attachment/3047/3049,remains
23,3052,59,leaf,attachment/3047/3052,remains
24,3060,50,leaf,attachment/3058/3060,remains
24,3063,42.75,leaf,attachment/3058/3063,detach
25,3074,59,leaf,attachment/3069/3074,remains
25,3071,59,leaf,attachment/3069/3071,remains
26,3082,57.25,leaf,attachment/3080/3082,remains
26,3085,57.25,leaf,attachment/3080/3085,remains
27,3096,56.75,leaf,attachment/3091/3096,remains
27,3093,56.75,leaf,attachment/3091/3093,remains
28,3102,55.75,leaf,attachment/3102,remains
29,3108,3,leaf,attachment/3108,remains
30,3113,59.75,leaf,attachment/3113,remains
31,3118,37.5,leaf,attachment/3118,remains
32,3125,57,leaf,attachment/3125,remains
33,3131,36.5,leaf,attachment/3131,remains
34,3137,57.5,leaf,attachment/3137,remains
0,2784,5,node,attachment/2784,NA
1,2799,17.75,node,attachment/2799,NA
2,2809,37.5,node,attachment/2809,NA
4,2830,17.25,node,attachment/2830,NA
5,2840,31.25,node,attachment/2840,NA
6,2850,8.25,node,attachment/2850,NA
7,2860,40.25,node,attachment/2860,NA
8,2871,7,node,attachment/2871,NA
9,2881,17.25,node,attachment/2881,NA
12,2904,3,node,attachment/2904,detach
13,2915,26,node,attachment/2915,NA
14,2926,15.75,node,attachment/2926,NA
16,2947,16.75,node,attachment/2947,NA
17,2957,19.25,node,attachment/2957,NA
18,2968,1.5,node,attachment/2968,NA
19,2979,10.5,node,attachment/2979,NA
20,2990,28,node,attachment/2990,NA
23,3047,48.25,node,attachment/3047,NA
24,3058,19.25,node,attachment/3058,NA
25,3069,26.75,node,attachment/3069,NA
26,3080,24.5,node,attachment/3080,NA
27,3091,17.25,node,attachment/3091,NA
NA,NA,0,NA,attachment,NA
