TRACK_ID,ID,POSITION_T,element,pathString,event
0,2622,3.75,leaf,attachment/2622,invasion
1,2628,9,leaf,attachment/2628,invasion
2,2634,6.25,leaf,attachment/2634,invasion
4,2646,3,leaf,attachment/2646,invasion
5,2652,4.5,leaf,attachment/2652,invasion
6,2658,0.5,leaf,attachment/2658,invasion
7,2663,3.5,leaf,attachment/2663,invasion
8,2669,17.75,leaf,attachment/2669,invasion
9,2675,1,leaf,attachment/2675,invasion
10,2680,7.75,leaf,attachment/2680,invasion
11,2686,23,leaf,attachment/2686,invasion
12,2692,5.5,leaf,attachment/2692,invasion
13,2697,33.75,leaf,attachment/2697,invasion
14,2705,5.75,leaf,attachment/2703/2705,invasion
14,2708,7,leaf,attachment/2703/2708,invasion
15,2772,0.75,leaf,attachment/2772,invasion
16,2779,3.5,leaf,attachment/2779,invasion
17,2787,25.5,leaf,attachment/2785/2787,remains
17,2790,25.5,leaf,attachment/2785/2790,remains
18,2802,59,leaf,attachment/2796/2802,remains
18,2798,57.25,leaf,attachment/2796/2798,invasion
19,2808,18.5,leaf,attachment/2808,invasion
20,2816,24,leaf,attachment/2814/2816,invasion
20,2819,27.5,leaf,attachment/2814/2819,invasion
21,2828,26,leaf,attachment/2826/2828,invasion
21,2831,37.75,leaf,attachment/2826/2831,remains
22,2837,34.25,leaf,attachment/2837,invasion
23,2843,13.25,leaf,attachment/2843,invasion
24,2849,11.5,leaf,attachment/2849,invasion
25,2857,7.75,leaf,attachment/2855/2857,invasion
25,2860,7.75,leaf,attachment/2855/2860,invasion
26,2866,27,leaf,attachment/2866,invasion
27,2912,18,leaf,attachment/2907/2912,invasion
27,2909,17.5,leaf,attachment/2907/2909,invasion
28,2920,25.5,leaf,attachment/2918/2920,invasion
28,2923,27.75,leaf,attachment/2918/2923,invasion
29,2929,23,leaf,attachment/2929,invasion
30,2935,30.75,leaf,attachment/2935,remains
14,2703,1.25,node,attachment/2703,NA
17,2785,23.25,node,attachment/2785,NA
18,2796,11.5,node,attachment/2796,NA
20,2814,19,node,attachment/2814,NA
21,2826,12,node,attachment/2826,NA
25,2855,6,node,attachment/2855,NA
27,2907,6.75,node,attachment/2907,NA
28,2918,7,node,attachment/2918,NA
NA,NA,0,NA,attachment,NA
