TRACK_ID,ID,POSITION_T,element,pathString,event
0,2009,36.75,leaf,attachment/2004/2009,remains
0,2006,36.75,leaf,attachment/2004/2006,remains
1,2016,33.75,leaf,attachment/2014/2016,remains
1,2019,33.75,leaf,attachment/2014/2019,remains
2,2025,40.25,leaf,attachment/2025,remains
4,2041,8.75,leaf,attachment/2041,detach
5,2049,36.25,leaf,attachment/2047/2049,remains
5,2052,36.25,leaf,attachment/2047/2052,remains
6,2060,37,leaf,attachment/2058/2060,remains
6,2063,37,leaf,attachment/2058/2063,remains
7,2073,30.5,leaf,attachment/2068/2073,remains
7,2070,21,leaf,attachment/2068/2070,detach
8,2082,28.5,leaf,attachment/2080/2082,remains
8,2085,28.5,leaf,attachment/2080/2085,remains
9,2096,35.75,leaf,attachment/2091/2096,remains
9,2093,35.75,leaf,attachment/2091/2093,remains
10,2169,46.75,leaf,attachment/2169,remains
11,2177,22.75,leaf,attachment/2175/2177,remains
11,2180,22.75,leaf,attachment/2175/2180,remains
12,2186,32.75,leaf,attachment/2186,remains
13,2192,21,leaf,attachment/2192,remains
14,2200,34.25,leaf,attachment/2198/2200,remains
14,2203,34.25,leaf,attachment/2198/2203,remains
15,2211,25.5,leaf,attachment/2209/2211,remains
15,2215,25.5,leaf,attachment/2209/2215,remains
16,2221,10.25,leaf,attachment/2221,remains
17,2299,52.25,leaf,attachment/2292/2297/2299,remains
17,2294,12.5,leaf,attachment/2292/2294,detach
17,2302,52,leaf,attachment/2292/2297/2302,remains
18,2313,42.5,leaf,attachment/2308/2313,remains
18,2310,43.75,leaf,attachment/2308/2310,remains
19,2320,32.75,leaf,attachment/2318/2320,remains
19,2323,32.75,leaf,attachment/2318/2323,remains
20,2329,33.75,leaf,attachment/2329,remains
21,2334,34.25,leaf,attachment/2334,remains
22,2345,14.5,leaf,attachment/2340/2345,remains
22,2342,14.5,leaf,attachment/2340/2342,remains
23,2353,35.25,leaf,attachment/2351/2353,remains
23,2356,35.25,leaf,attachment/2351/2356,remains
24,2388,44.75,leaf,attachment/2386/2388,remains
24,2391,44.75,leaf,attachment/2386/2391,remains
25,2397,17.5,leaf,attachment/2397,remains
26,2402,34.5,leaf,attachment/2402,invasion
27,2432,25.25,leaf,attachment/2426/2432,remains
27,2428,25.25,leaf,attachment/2426/2428,remains
28,2438,5,leaf,attachment/2438,remains
29,2449,35,leaf,attachment/2444/2449,remains
29,2446,31,leaf,attachment/2444/2446,invasion
30,2523,34.25,leaf,attachment/2521/2523,remains
30,2527,34.25,leaf,attachment/2521/2527,remains
0,2004,33.25,node,attachment/2004,NA
1,2014,18.5,node,attachment/2014,NA
5,2047,15.75,node,attachment/2047,NA
6,2058,17.25,node,attachment/2058,NA
7,2068,20.75,node,attachment/2068,NA
8,2080,15.5,node,attachment/2080,NA
9,2091,10.5,node,attachment/2091,NA
11,2175,12,node,attachment/2175,NA
14,2198,5.25,node,attachment/2198,NA
15,2209,8.25,node,attachment/2209,NA
17,2297,17.5,node,attachment/2292/2297,NA
17,2292,7.5,node,attachment/2292,NA
18,2308,4.5,node,attachment/2308,NA
19,2318,19.5,node,attachment/2318,NA
22,2340,4.75,node,attachment/2340,NA
23,2351,1,node,attachment/2351,NA
24,2386,21.25,node,attachment/2386,NA
27,2426,11.5,node,attachment/2426,NA
29,2444,15.5,node,attachment/2444,NA
30,2521,11.25,node,attachment/2521,NA
NA,NA,0,NA,attachment,NA
