TRACK_ID,ID,POSITION_T,element,pathString,event
0,2008,25.5,leaf,attachment/2005/2008,invasion
0,2012,59.25,leaf,attachment/2005/2012,remains
1,2020,52,leaf,attachment/2020,remains
2,2035,52.75,leaf,attachment/2028/2035,remains
2,2031,40.5,leaf,attachment/2028/2031,invasion
4,2057,58.25,leaf,attachment/2050/2057,remains
4,2053,58.25,leaf,attachment/2050/2053,remains
5,2065,35,leaf,attachment/2065,invasion
6,2080,50.5,leaf,attachment/2073/2080,invasion
6,2076,27.75,leaf,attachment/2073/2076,invasion
7,2090,40.5,leaf,attachment/2087/2090,invasion
7,2094,40.75,leaf,attachment/2087/2094,invasion
8,2101,29.25,leaf,attachment/2101,invasion
9,2115,58.75,leaf,attachment/2108/2115,remains
9,2111,39.75,leaf,attachment/2108/2111,invasion
10,2129,59.25,leaf,attachment/2122/2129,remains
10,2125,59.25,leaf,attachment/2122/2125,remains
11,2145,59.25,leaf,attachment/2137/2145,remains
11,2140,59.25,leaf,attachment/2137/2140,remains
12,2155,35.5,leaf,attachment/2152/2155,invasion
12,2159,37.25,leaf,attachment/2152/2159,invasion
13,2169,47.5,leaf,attachment/2166/2169,invasion
13,2173,49.25,leaf,attachment/2166/2173,invasion
14,2282,47.5,leaf,attachment/2282,remains
15,2289,45.75,leaf,attachment/2289,remains
16,2296,34.5,leaf,attachment/2296,remains
17,2352,51.5,leaf,attachment/2345/2352,invasion
17,2348,51.25,leaf,attachment/2345/2348,invasion
18,2363,20.25,leaf,attachment/2360/2363,invasion
18,2367,20.5,leaf,attachment/2360/2367,invasion
19,2377,46,leaf,attachment/2374/2377,invasion
19,2382,53.25,leaf,attachment/2374/2382,invasion
20,2392,46,leaf,attachment/2389/2392,remains
20,2396,46,leaf,attachment/2389/2396,remains
21,2403,49.5,leaf,attachment/2403,invasion
22,2417,59.25,leaf,attachment/2410/2417,remains
22,2413,59.25,leaf,attachment/2410/2413,remains
23,2499,50.25,leaf,attachment/2424/2499,invasion
23,2427,49,leaf,attachment/2424/2427,remains
24,2514,41.25,leaf,attachment/2514,invasion
24,2509,42.75,leaf,attachment/2509,invasion
25,2528,59.25,leaf,attachment/2521/2528,remains
25,2524,42.25,leaf,attachment/2521/2524,invasion
26,2535,52.25,leaf,attachment/2535,invasion
27,2545,53.75,leaf,attachment/2542/2545,remains
27,2549,53.75,leaf,attachment/2542/2549,remains
28,2563,21.75,leaf,attachment/2556/2563,invasion
28,2559,20.25,leaf,attachment/2556/2559,invasion
29,2577,59.25,leaf,attachment/2570/2577,remains
29,2573,30.75,leaf,attachment/2570/2573,invasion
30,2587,59.25,leaf,attachment/2584/2587,invasion
30,2591,59.25,leaf,attachment/2584/2591,remains
0,2005,1.75,node,attachment/2005,NA
2,2028,18.5,node,attachment/2028,NA
4,2050,46.75,node,attachment/2050,NA
6,2073,26.25,node,attachment/2073,NA
7,2087,15.75,node,attachment/2087,NA
9,2108,38.25,node,attachment/2108,NA
10,2122,14.5,node,attachment/2122,NA
11,2137,14.75,node,attachment/2137,NA
12,2152,32.75,node,attachment/2152,NA
13,2166,27.25,node,attachment/2166,NA
17,2345,14.25,node,attachment/2345,NA
18,2360,8.75,node,attachment/2360,NA
19,2374,6,node,attachment/2374,NA
20,2389,2.75,node,attachment/2389,NA
22,2410,23.75,node,attachment/2410,NA
23,2424,8.75,node,attachment/2424,NA
25,2521,23.75,node,attachment/2521,NA
27,2542,15,node,attachment/2542,NA
28,2556,17.25,node,attachment/2556,NA
29,2570,17.25,node,attachment/2570,NA
30,2584,16.5,node,attachment/2584,NA
NA,NA,0,NA,attachment,NA
