TRACK_ID,ID,POSITION_T,element,pathString,event
0,2005,28.25,leaf,attachment/2005,invasion
1,2016,39,leaf,attachment/2011/2016,remains
1,2013,39,leaf,attachment/2011/2013,remains
2,2024,42.5,leaf,attachment/2022/2024,remains
2,2027,42.5,leaf,attachment/2022/2027,remains
4,2121,28,leaf,attachment/2119/2121,remains
4,2124,28,leaf,attachment/2119/2124,invasion
5,2130,59.75,leaf,attachment/2130,remains
6,2136,21.5,leaf,attachment/2136,remains
7,2142,11.5,leaf,attachment/2142,invasion
8,2153,31.75,leaf,attachment/2148/2153,remains
8,2150,31.75,leaf,attachment/2148/2150,remains
9,2159,50.25,leaf,attachment/2159,remains
10,2165,20.75,leaf,attachment/2165,remains
11,2176,29.5,leaf,attachment/2171/2176,remains
11,2173,29.5,leaf,attachment/2171/2173,remains
12,2290,17.75,leaf,attachment/2290,invasion
13,2296,11.75,leaf,attachment/2296,invasion
14,2467,49.25,leaf,attachment/2465/2467,remains
14,2470,49.25,leaf,attachment/2465/2470,remains
15,2481,29.25,leaf,attachment/2476/2481,remains
15,2478,29.25,leaf,attachment/2476/2478,remains
16,2487,48,leaf,attachment/2487,remains
17,2493,13.75,leaf,attachment/2493,invasion
1,2011,19.75,node,attachment/2011,NA
2,2022,26.5,node,attachment/2022,NA
4,2119,8,node,attachment/2119,NA
8,2148,3.5,node,attachment/2148,NA
11,2171,8.5,node,attachment/2171,NA
14,2465,8,node,attachment/2465,NA
15,2476,22.25,node,attachment/2476,NA
NA,NA,0,NA,attachment,NA
