TRACK_ID,ID,POSITION_T,element,pathString,event
0,8,14.25,leaf,attachment/5/8,invasion
0,12,15.25,leaf,attachment/5/12,invasion
1,24,7,leaf,attachment/21/24,invasion
1,28,9.75,leaf,attachment/21/28,invasion
2,39,32,leaf,attachment/36/39,invasion
2,43,33.5,leaf,attachment/36/43,invasion
4,72,30.75,leaf,attachment/66/69/72,invasion
4,76,38,leaf,attachment/66/69/76,invasion
4,84,40.5,leaf,attachment/66/81/84,invasion
4,88,41.5,leaf,attachment/66/81/88,invasion
5,99,41.25,leaf,attachment/96/99,detach
5,103,44.75,leaf,attachment/96/103,invasion
6,111,11.5,leaf,attachment/111,invasion
7,119,23.25,leaf,attachment/119,remains
8,130,10.25,leaf,attachment/127/130,invasion
8,134,15,leaf,attachment/127/134,invasion
9,150,19.5,leaf,attachment/147/150,invasion
9,154,21.25,leaf,attachment/147/154,invasion
10,169,40.5,leaf,attachment/162/169,remains
10,165,40.5,leaf,attachment/162/165,remains
11,180,21.5,leaf,attachment/177/180,invasion
11,184,24,leaf,attachment/177/184,invasion
12,192,8.75,leaf,attachment/192,invasion
13,203,22.25,leaf,attachment/200/203,invasion
13,207,22.75,leaf,attachment/200/207,invasion
14,218,21.5,leaf,attachment/215/218,invasion
14,222,22.5,leaf,attachment/215/222,invasion
15,344,44.25,leaf,attachment/341/344,detach
15,348,55.25,leaf,attachment/341/348,remains
16,359,13.5,leaf,attachment/356/359,invasion
16,363,16.25,leaf,attachment/356/363,invasion
17,393,23.75,leaf,attachment/393,invasion
18,404,26,leaf,attachment/401/404,invasion
18,408,26.75,leaf,attachment/401/408,invasion
19,420,12.25,leaf,attachment/417/420,invasion
19,424,13.5,leaf,attachment/417/424,invasion
20,472,22.75,leaf,attachment/460/472,invasion
20,463,22.75,leaf,attachment/460/463,remains
21,480,3.25,leaf,attachment/480,invasion
22,532,9,leaf,attachment/532,invasion
23,543,4,leaf,attachment/543,invasion
24,551,28.25,leaf,attachment/551,invasion
25,562,32.75,leaf,attachment/559/562,invasion
25,566,35.25,leaf,attachment/559/566,invasion
26,574,19.25,leaf,attachment/574,invasion
27,683,25.25,leaf,attachment/680/683,invasion
27,687,25.25,leaf,attachment/680/687,invasion
28,695,15.5,leaf,attachment/695,invasion
29,706,44.75,leaf,attachment/703/706,invasion
29,710,57.75,leaf,attachment/703/710,remains
30,721,39.25,leaf,attachment/718/721,invasion
30,725,46.75,leaf,attachment/718/725,invasion
31,736,14.25,leaf,attachment/733/736,invasion
31,740,25.75,leaf,attachment/733/740,invasion
32,1054,34.25,leaf,attachment/1047/1054,invasion
32,1050,40.5,leaf,attachment/1047/1050,invasion
33,1063,33.5,leaf,attachment/1063,invasion
34,1074,28.75,leaf,attachment/1071/1074,remains
34,1078,28.75,leaf,attachment/1071/1078,remains
0,5,8,node,attachment/5,NA
1,21,4.5,node,attachment/21,NA
2,36,27.25,node,attachment/36,NA
4,66,2.75,node,attachment/66,NA
4,81,24.25,node,attachment/66/81,NA
4,69,24.25,node,attachment/66/69,NA
5,96,1.5,node,attachment/96,NA
8,127,8.25,node,attachment/127,NA
9,147,15.5,node,attachment/147,NA
10,162,3.5,node,attachment/162,NA
11,177,7.25,node,attachment/177,NA
13,200,2.5,node,attachment/200,NA
14,215,5.25,node,attachment/215,NA
15,341,7.75,node,attachment/341,NA
16,356,0.25,node,attachment/356,NA
18,401,15.5,node,attachment/401,NA
19,417,1.5,node,attachment/417,NA
20,460,4,node,attachment/460,NA
25,559,11.25,node,attachment/559,NA
27,680,18.5,node,attachment/680,NA
29,703,23.25,node,attachment/703,NA
30,718,19.25,node,attachment/718,NA
31,733,4.5,node,attachment/733,NA
32,1047,20.75,node,attachment/1047,NA
34,1071,4,node,attachment/1071,NA
NA,NA,0,NA,attachment,NA
