LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID3688,3688,0,-1.0,203.97786171927817,140.9202735444115,0.0,585.0,39,5.0,1,,130.59161223788297,130.0,75.0,184.0,379891.0,17.15171033994838,0.019223862454613126,0.28721618746933714
ID3690,3690,0,-1.0,205.14559483362754,136.5412743656013,0.0,1200.0,80,5.0,1,,130.25403918872482,130.0,57.0,210.0,378909.0,20.228978637059335,0.023308163044566958,0.29332484404041004
ID3696,3696,1,-1.0,180.27652866396807,62.26317656651174,0.0,1770.0,118,5.0,1,,118.49020281883664,119.0,66.0,184.0,344688.0,16.319423398155298,-0.007914511708866718,-0.11584643066410479
ID3694,3694,1,-1.0,183.39386249295745,81.63517964666023,0.0,570.0,38,5.0,1,,120.76314884840058,121.0,59.0,219.0,351300.0,18.078232573178326,-0.0035395919780749547,-0.047457145189406
ID3700,3700,2,-1.0,189.851196853007,75.62317869075207,0.0,840.0,56,5.0,1,,119.97421794430916,120.0,59.0,177.0,349005.0,15.163132485618462,-0.0018948101945669893,-0.030041277197205795
ID3702,3702,2,-1.0,176.26852802669595,53.57917518575552,0.0,2445.0,163,5.0,1,,118.64833276039757,119.0,57.0,182.0,345148.0,19.435670035875585,-0.016278046447533105,-0.20203287220221094
ID3708,3708,3,-1.0,223.69653556774915,88.98318081499242,0.0,1110.0,74,5.0,1,,120.58336198006057,120.0,68.0,181.0,350777.0,16.597353938025712,-0.0071002772105392626,-0.10390787037932493
ID3706,3706,3,-1.0,220.8018684408304,95.44051517504191,0.0,705.0,47,5.0,1,,122.76899278102387,123.0,71.0,184.0,357135.0,15.62574634419809,0.010675319091786957,0.16597669917418578
ID3712,3712,4,-1.0,276.69121066056914,147.0991900554379,0.0,330.0,22,5.0,1,,130.23753867308415,130.0,73.0,185.0,378861.0,15.07456091523416,0.00927454127733779,0.15878322722586863
ID3714,3714,4,-1.0,276.69121066056914,144.64985633266048,0.0,615.0,41,5.0,1,,130.01409419044384,129.0,73.0,210.0,378211.0,18.759393998306447,0.014026268654618257,0.19173198683821258
ID3720,3720,5,-1.0,294.2818801241523,95.88584857918325,0.0,825.0,55,5.0,1,,122.85424544516988,123.0,65.0,190.0,357383.0,17.25277522946826,0.00308929946468786,0.043861311339716276
ID3718,3718,5,-1.0,293.6138800179403,94.99518177090057,0.0,660.0,44,5.0,1,,123.91302853214168,124.0,67.0,182.0,360463.0,15.458790631161058,-0.0017126720370829408,-0.027503635306528815
ID3724,3724,6,-1.0,182.94852908881612,101.8978495350914,0.0,1425.0,95,5.0,1,,121.98315572361552,122.0,56.0,181.0,354849.0,16.334327009974892,-0.004728573875290428,-0.07096059639948711
ID3726,3726,6,-1.0,185.84319621573488,97.44451549367797,0.0,1680.0,112,5.0,1,,126.8600893777938,127.0,57.0,191.0,369036.0,17.518825170163822,6.532407259266589E-4,0.009454524174643418
ID3729,3729,7,-1.0,123.71918633801728,136.85652176018695,0.0,0.0,0,5.0,1,,115.71914747335884,115.0,55.0,180.0,336627.0,16.51196414522498,-0.01719710412727684,-0.24525923970362065
ID3731,3731,7,-1.0,115.25785165933176,102.56584964130342,0.0,3585.0,239,5.0,1,,124.3011344104509,125.0,67.0,193.0,361592.0,16.462351344205686,-0.02358924908248332,-0.3648335634359123
ID3737,3737,8,-1.0,114.14451814897839,95.21784847297124,0.0,1890.0,126,5.0,1,,124.37882433826094,124.0,59.0,187.0,361818.0,18.47788126765122,0.012125337443241535,0.1612812228120704
ID3735,3735,8,-1.0,114.14451814897839,94.54984836675922,0.0,1650.0,110,5.0,1,,126.4527328979036,126.0,63.0,185.0,367851.0,16.558644384197613,0.0014302306698512396,0.021813172079584
ID3741,3741,9,-1.0,169.81119366664646,96.33118198332461,0.0,1800.0,120,5.0,1,,127.93537298040611,128.0,76.0,187.0,372164.0,15.749258733678673,0.010359463147034842,0.1665796149184432
ID3743,3743,9,-1.0,171.81519398528255,94.10451496261788,0.0,1995.0,133,5.0,1,,125.5094534204198,124.0,66.0,210.0,365107.0,19.216952465112783,-0.01507611649653175,-0.19994416470137594
ID3749,3749,10,-1.0,134.62985473948024,86.31118039014436,0.0,3045.0,203,5.0,1,,126.8270883465116,126.0,64.0,202.0,368940.0,20.0602601929547,-0.020631704338398116,-0.26637564896780996
ID3747,3747,10,-1.0,131.28985420842017,98.33518230196066,0.0,2355.0,157,5.0,1,,125.54726710209744,126.0,66.0,185.0,365217.0,17.86186826608877,0.009307664756699793,0.12963657195495223
ID3752,3752,11,-1.0,98.55784900403133,94.10451496261788,0.0,1605.0,107,5.0,1,,123.64317634926064,124.0,73.0,172.0,359678.0,15.182607160701838,0.005018103873452495,0.08132415432594432
ID3755,3755,11,-1.0,102.34318293923276,75.17784528661073,0.0,3135.0,209,5.0,1,,130.0701271914752,130.0,74.0,191.0,378374.0,16.675143702147107,0.005312278402747815,0.08243617180854709
ID3761,3761,12,-1.0,104.79251666201014,80.2991794342362,0.0,2985.0,199,5.0,1,,122.22138191818478,122.0,67.0,181.0,355542.0,17.000783116163305,-0.02440815707491878,-0.3597286994350332
ID3759,3759,12,-1.0,96.77651538746595,100.78451602473805,0.0,2115.0,141,5.0,1,,125.38466827088422,125.0,65.0,179.0,364744.0,15.379188811137338,0.004123003428231879,0.06695265160998343
