LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID3235 ? ID3240,0,3235,3240,-1.0,0.0020138414446088417,0.006089704206995688,9.499938562913274,2025.0,166.4155264600687,191.13153038991334,0.0,
ID3200 ? ID3235,0,3200,3235,-1.0,NaN,0.009420994895562402,1.2718343109009242,1177.5,170.8410271637233,189.7120301642128,0.0,
ID3235 ? ID3237,0,3235,3237,-1.0,0.0029498522568918244,0.00738994509442793,7.8702915255657455,1777.5,167.33402660611023,191.46553044301933,0.0,
ID3246 ? ID3251,1,3246,3251,-1.0,0.0016110731556870735,0.00920551543316676,17.950755094675184,2595.0,210.75403350989131,190.71403032353084,0.0,
ID3244 ? ID3246,1,3244,3246,-1.0,NaN,0.015004524757657184,1.5754750995540043,1567.5,213.3425339214629,199.06403165118104,0.0,
ID3246 ? ID3248,1,3246,3248,-1.0,0.002435343142317669,0.005178295396992379,6.680001062120169,2265.0,212.67453381525087,196.14153118650347,0.0,
ID3257 ? ID3259,2,3257,3259,-1.0,0.023271056693257727,0.01237037233725973,1.6700002655300636,3502.5,254.75854050660794,183.78352922158115,0.0,
ID3255 ? ID3257,2,3255,3257,-1.0,NaN,3.5271580002618514E-4,1.0158215040754133,1995.0,253.4225402941839,183.70002920830464,0.0,
ID3257 ? ID3262,2,3257,3262,-1.0,0.023271056693257727,0.006185186168629782,0.8350001327650205,3502.5,253.67304033401342,183.44952916847512,0.0,
ID3266 ? ID3268,3,3266,3268,-1.0,NaN,0.008720467903959295,3.662596519662904,1110.0,262.35704171476965,168.75352683181075,0.0,
ID3268 ? ID3270,3,3268,3270,-1.0,0.0013962634015954635,0.0013152213377840968,2.9592480100142176,2445.0,262.6910417678756,169.0040268716403,0.0,
ID3268 ? ID3273,3,3268,3273,-1.0,0.0013962634015954635,0.002182941391856934,4.911618131678101,2445.0,261.68904160855766,168.41952677870478,0.0,
ID3277 ? ID3279,4,3277,3279,-1.0,NaN,0.005027957788692592,2.338000371742055,742.5,268.28554265740127,139.02752210537602,0.0,
ID3283 ? ID3285,5,3283,3285,-1.0,NaN,0.002632755647624172,2.882867434148468,1327.5,207.08003292572522,159.15102530501304,0.0,
