LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinment ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,4,3,1,0,0,103,1695.0,1110.0,2805.0,9.295168071382335,166.74952651317471,191.0062803699986,0.0,0.0076335480656620075,0.009420994895562402,0.006089704206995688,0.00738994509442793,0.0016789524170232983,-1.0,18.642064399379944,9.295168071382335,0.49861259312522827,0.00548387496836716,0.7183913589324572,0.0024818468507503333
Track_1,1,1,4,3,1,0,0,129,2055.0,1515.0,3570.0,17.48403346513227,212.0482837156771,193.2190307218259,0.0,0.009796111862605442,0.015004524757657184,0.005178295396992379,0.00920551543316676,0.004939665876245786,-1.0,26.20623125634936,17.48403346513227,0.6671708455177493,0.00850804548181619,0.8685124875200569,0.002023208149002371
Track_2,2,2,4,3,1,0,0,191,3015.0,555.0,3570.0,2.6772140891712453,253.96529038048118,183.57477918838987,0.0,0.006302758101971898,0.01237037233725973,3.5271580002618514E-4,0.006185186168629782,0.006009690884842613,-1.0,3.520821902370497,2.6772140891712453,0.7603946360844699,8.879648720302637E-4,0.1408851264262312,0.023271056693257727
Track_3,3,3,4,3,1,0,0,149,2670.0,900.0,3570.0,1.493693646467143,261.81429162847235,167.8767766924075,0.0,0.004072876877866775,0.008720467903959295,0.0013152213377840968,0.002182941391856934,0.004048247927489352,-1.0,11.533462661355223,3.662596519662904,0.12950955756522375,5.594358226468701E-4,0.13735642874131815,0.0013962634015954635
Track_4,4,4,2,1,0,0,0,30,465.0,510.0,975.0,2.338000371742055,268.28554265740127,139.02752210537602,0.0,0.005027957788692592,0.005027957788692592,0.005027957788692592,0.005027957788692592,NaN,-1.0,2.338000371742055,2.338000371742055,1.0,0.005027957788692592,1.0,NaN
Track_5,5,5,2,1,0,0,0,72,1095.0,780.0,1875.0,2.882867434148468,207.08003292572522,159.15102530501304,0.0,0.002632755647624172,0.002632755647624172,0.002632755647624172,0.002632755647624172,NaN,-1.0,2.882867434148468,2.882867434148468,1.0,0.002632755647624172,1.0,NaN
Track_6,6,6,2,1,0,0,0,168,2535.0,1035.0,3570.0,4.224803625728723,220.8575351163481,154.89252462791143,0.0,0.0016665892014708966,0.0016665892014708966,0.0016665892014708966,0.0016665892014708966,NaN,-1.0,4.224803625728723,4.224803625728723,1.0,0.0016665892014708966,1.0,NaN
Track_7,7,7,4,3,1,0,0,111,2145.0,1425.0,3570.0,18.447267716817244,236.55553761233048,154.93427463454967,0.0,0.011278366518740087,0.013072887578695012,0.007813240821811184,0.012948971155714067,0.0030015264269382777,-1.0,25.226408892143013,19.047522578355753,0.731268084795169,0.008600124809705009,0.7625328362414076,0.006756113233526437
Track_8,8,8,2,1,0,0,0,171,2580.0,990.0,3570.0,13.674640926351993,255.42654061281996,135.10302148138044,0.0,0.005300248421066664,0.005300248421066664,0.005300248421066664,0.005300248421066664,NaN,-1.0,13.674640926351993,13.674640926351993,1.0,0.005300248421066664,1.0,NaN
Track_9,9,9,4,3,1,0,0,92,2775.0,795.0,3570.0,23.094962537617715,280.7270446356001,147.62802347285572,0.0,0.008829615216165668,0.01112412366696752,0.006015517905310296,0.009349204076219189,0.002593635025331848,-1.0,34.5412688463562,23.094962537617715,0.668619402499281,0.008322509022564942,0.942567577274229,0.0024982550275582296
Track_10,10,10,4,3,1,0,0,52,1485.0,195.0,1680.0,4.44671871023019,254.80029051324618,224.4062856805994,0.0,0.0026673659896222736,0.005166864814823475,9.681160959594489E-4,0.001867117058083897,0.0022108078761759946,-1.0,5.8959278688470205,4.44671871023019,0.7542016810832811,0.0029944233738923836,1.1226143639615143,0.0045938383142114896
Track_11,11,11,2,1,0,0,0,104,1575.0,795.0,2370.0,2.6979679973513084,213.67653397456888,229.95903656348682,0.0,0.0017129955538738467,0.0017129955538738467,0.0017129955538738467,0.0017129955538738467,NaN,-1.0,2.6979679973513084,2.6979679973513084,1.0,0.0017129955538738467,1.0,NaN
Track_12,12,12,2,1,0,0,0,158,2385.0,420.0,2805.0,19.898247634125777,216.59903443924645,219.85553495703005,0.0,0.008343080769025483,0.008343080769025483,0.008343080769025483,0.008343080769025483,NaN,-1.0,19.898247634125777,19.898247634125777,1.0,0.008343080769025483,1.0,NaN
Track_13,13,13,2,1,0,0,0,77,1170.0,1470.0,2640.0,8.588738467186117,226.20153596604422,225.28303582000268,0.0,0.007340802108706083,0.007340802108706083,0.007340802108706083,0.007340802108706083,NaN,-1.0,8.588738467186117,8.588738467186117,1.0,0.007340802108706083,1.0,NaN
Track_14,14,14,4,3,1,0,0,59,1650.0,45.0,1695.0,3.585642632565716,256.51204078541446,259.93554132975106,0.0,0.004030859952219825,0.006078184682308227,0.0019817296849735716,0.004032665489377676,0.0020482280955182552,-1.0,10.07034043066465,3.585642632565716,0.3560597238249532,0.0021731167470095247,0.5391198832925894,0.0037211736882143253
Track_15,15,15,4,3,1,0,0,41,960.0,645.0,1605.0,3.844629331991972,248.8300395639763,269.4545428432723,0.0,0.006049126248250131,0.009625339525495635,0.003240369447495329,0.005281669771759429,0.0032609358789648796,-1.0,8.439416474590065,5.090077527801112,0.4555562986573335,0.004004822220824971,0.6620497004808705,0.006233318757122606
Track_16,16,16,2,1,0,0,0,160,2415.0,1155.0,3570.0,16.387289781924036,247.57753936482874,286.9060456180613,0.0,0.00678562723889194,0.00678562723889194,0.00678562723889194,0.00678562723889194,NaN,-1.0,16.387289781924036,16.387289781924036,1.0,0.00678562723889194,1.0,NaN
Track_17,17,17,6,5,2,0,0,186,3525.0,45.0,3570.0,17.077334854714294,247.96720609345243,294.8107135415701,0.0,0.011950559840260923,0.02406827595752614,0.006356699824016668,0.008298298035928672,0.007491080395296875,-1.0,29.389744376584357,19.389990421838792,0.5810644228780802,0.004844634001337388,0.4053897111176352,0.017733291865183028
Track_18,18,18,2,1,0,0,0,11,180.0,810.0,990.0,2.343957070241438,154.1410245084229,177.938528292226,0.0,0.013021983723563545,0.013021983723563545,0.013021983723563545,0.013021983723563545,NaN,-1.0,2.343957070241438,2.343957070241438,1.0,0.013021983723563545,1.0,NaN
Track_19,19,19,4,3,1,0,0,92,2265.0,1095.0,3360.0,9.316147036162917,250.75053986933585,310.0772993022906,0.0,0.004134787146564695,0.005838054621123095,0.0019097833447418743,0.004656523473829117,0.002015436776880129,-1.0,12.921355024411733,9.316147036162917,0.7209883962295239,0.004113089199188926,0.9947523423560517,0.004033592915467453
Track_20,20,20,4,3,1,0,0,140,3150.0,420.0,3570.0,17.194516073944392,265.571792225915,319.38755078262056,0.0,0.007005969328852871,0.00868910788196871,0.0047435076958938045,0.007585292408696098,0.002035596136324164,-1.0,26.876523077653474,18.793996310581107,0.6397596900560697,0.0054585765314109184,0.7791322335555647,0.0030353552208597034
Track_21,21,21,2,1,0,0,0,83,1260.0,1530.0,2790.0,7.378302332631168,329.74155242890686,275.9675438788395,0.0,0.005855795502088228,0.005855795502088228,0.005855795502088228,0.005855795502088228,NaN,-1.0,7.378302332631168,7.378302332631168,1.0,0.005855795502088228,1.0,NaN
Track_22,22,22,2,1,0,0,0,183,2760.0,810.0,3570.0,5.385589032172135,360.6365573412126,280.1425445426646,0.0,0.0019513003739754112,0.0019513003739754112,0.0019513003739754112,0.0019513003739754112,NaN,-1.0,5.385589032172135,5.385589032172135,1.0,0.0019513003739754112,1.0,NaN
Track_23,23,23,2,1,0,0,0,100,1515.0,2055.0,3570.0,2.692794516086043,357.7975568898115,279.8085444895586,0.0,0.0017774221228290712,0.0017774221228290712,0.0017774221228290712,0.0017774221228290712,NaN,-1.0,2.692794516086043,2.692794516086043,1.0,0.0017774221228290712,1.0,NaN
Track_24,24,24,2,1,0,0,0,76,1155.0,2415.0,3570.0,2.839000451401091,362.80755768640165,284.7350452728722,0.0,0.0024580090488321134,0.0024580090488321134,0.0024580090488321134,0.0024580090488321134,NaN,-1.0,2.839000451401091,2.839000451401091,1.0,0.0024580090488321134,1.0,NaN
Track_25,25,25,2,1,0,0,0,39,600.0,0.0,600.0,3.8081865253327747,310.70354940186434,243.40253870100366,0.0,0.0063469775422212915,0.0063469775422212915,0.0063469775422212915,0.0063469775422212915,NaN,-1.0,3.8081865253327747,3.8081865253327747,1.0,0.0063469775422212915,1.0,NaN
Track_26,26,26,2,1,0,0,0,118,1785.0,75.0,1860.0,6.348197997485398,292.4170464943104,237.5575377716485,0.0,0.0035564134439694107,0.0035564134439694107,0.0035564134439694107,0.0035564134439694107,NaN,-1.0,6.348197997485398,6.348197997485398,1.0,0.0035564134439694107,1.0,NaN
Track_27,27,27,2,1,0,0,0,185,2790.0,780.0,3570.0,15.951780995175934,227.87153623157428,252.75454018797188,0.0,0.005717484227661625,0.005717484227661625,0.005717484227661625,0.005717484227661625,NaN,-1.0,15.951780995175934,15.951780995175934,1.0,0.005717484227661625,1.0,NaN
Track_28,28,28,2,1,0,0,0,29,450.0,885.0,1335.0,2.171000345189057,286.82254560478475,65.29701038222464,0.0,0.004824445211531238,0.004824445211531238,0.004824445211531238,0.004824445211531238,NaN,-1.0,2.171000345189057,2.171000345189057,1.0,0.004824445211531238,1.0,NaN
Track_29,29,29,2,1,0,0,0,100,1515.0,60.0,1575.0,1.9546851958851157,310.36954934875837,73.48001168332186,0.0,0.0012902212514093172,0.0012902212514093172,0.0012902212514093172,0.0012902212514093172,NaN,-1.0,1.9546851958851157,1.9546851958851157,1.0,0.0012902212514093172,1.0,NaN
Track_30,30,30,4,3,1,0,0,150,3555.0,15.0,3570.0,11.556836222436655,314.7533000457747,70.34876118545304,0.0,0.00552403477884892,0.008367795302786793,3.970519495733996E-4,0.007807257084186568,0.0044489341951070025,-1.0,21.765140244979385,11.556836222436655,0.5309791755236908,0.0032508681357065134,0.5884952332584551,0.002435343142317669
Track_31,31,31,2,1,0,0,0,236,3555.0,15.0,3570.0,5.230594392628701,340.59655415485213,75.81801205506392,0.0,0.001471334568953221,0.001471334568953221,0.001471334568953221,0.001471334568953221,NaN,-1.0,5.230594392628701,5.230594392628701,1.0,0.001471334568953221,1.0,NaN
Track_32,32,32,4,3,1,0,0,104,3000.0,570.0,3570.0,12.413169377704886,352.2865560135624,70.39051119209128,0.0,0.004620526403874583,0.005328030144703419,0.0034962033062955374,0.005037345760624793,9.844801539894532E-4,-1.0,21.307556762363074,12.413169377704886,0.5825712218507885,0.004137723125901629,0.8955090317051115,0.0019946620022792336
Track_33,33,33,4,3,1,0,0,234,3570.0,0.0,3570.0,17.56995842817183,315.630050185178,82.41451310390758,0.0,0.009411187811545823,0.02226667020706701,0.0011445484685875685,0.004822344758982889,0.011284020431768892,-1.0,19.837765726815746,17.56995842817183,0.8856823228042056,0.004921556982681185,0.5229474834880381,0.001424305279416331
Track_34,34,34,2,1,0,0,0,207,3120.0,255.0,3375.0,15.491446714726129,240.0625381699436,97.86201556006047,0.0,0.004965207280360939,0.004965207280360939,0.004965207280360939,0.004965207280360939,NaN,-1.0,15.491446714726129,15.491446714726129,1.0,0.004965207280360939,1.0,NaN
Track_35,35,35,2,1,0,0,0,61,930.0,2040.0,2970.0,5.533726749473373,240.98103831598507,82.8320131702901,0.0,0.005950243816638035,0.005950243816638035,0.005950243816638035,0.005950243816638035,NaN,-1.0,5.533726749473373,5.533726749473373,1.0,0.005950243816638035,1.0,NaN
Track_36,36,36,2,1,0,0,0,97,1470.0,330.0,1800.0,3.2079657530204115,258.8500411571565,68.38651087345522,0.0,0.0021822896279050418,0.0021822896279050418,0.0021822896279050418,0.0021822896279050418,NaN,-1.0,3.2079657530204115,3.2079657530204115,1.0,0.0021822896279050418,1.0,NaN
Track_37,37,37,4,3,1,0,0,127,2040.0,30.0,2070.0,9.198654951004977,236.38853758577747,68.30301086017873,0.0,0.008379086856177179,0.015559308817366231,0.003917926956566468,0.0056600247945988325,0.006278966218914978,-1.0,19.322880329212516,10.121083419019447,0.4760498846074393,0.004509144583825969,0.5381427190364741,0.001713163728920716
Track_38,38,38,2,1,0,0,0,62,945.0,2625.0,3570.0,8.210221339017474,266.1145423122122,86.17201370135018,0.0,0.0086880649090132,0.0086880649090132,0.0086880649090132,0.0086880649090132,NaN,-1.0,8.210221339017474,8.210221339017474,1.0,0.0086880649090132,1.0,NaN
Track_39,39,39,4,3,1,0,0,181,3420.0,150.0,3570.0,12.204720249466959,273.5042934871827,100.82626603137629,0.0,0.004219491066134212,0.005785542198867228,0.0020678968874449258,0.004805034112090484,0.001926750414398779,-1.0,30.33912218125155,14.665607263098455,0.4022766438842131,0.0035686316518909237,0.8457493086151764,0.001150766539776481
Track_40,40,40,4,3,1,0,0,95,2340.0,1230.0,3570.0,12.085310895686707,182.65627904234836,163.57652600866766,0.0,0.00446746617335839,0.0084667678614665,0.0020550333402876647,0.0028805973183210053,0.0034880079507986854,-1.0,17.7439313170149,12.085310895686707,0.681095450594871,0.00516466277593449,1.1560608576588252,0.002181661564992912
