LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2782 ? ID2784,0,2782,2784,-1.0,NaN,0.0018216728057040162,0.5465018417112049,150.0,214.22872195079293,6.72197265304784,0.0,
ID2784 ? ID2786,0,2784,2786,-1.0,0.002755783029464731,0.002367999965336157,2.6995199604832187,870.0,213.24501863571277,6.230120995507754,0.0,
ID2784 ? ID2789,0,2784,2789,-1.0,9.563447956133312E-4,3.343851163416211E-4,1.0984551071822253,1942.5,214.44732268747742,7.2684744947590465,0.0,
ID2797 ? ID2799,1,2797,2799,-1.0,NaN,0.0024822753283355492,2.64362322467736,562.5,182.85951623656968,44.211998994436605,0.0,
ID2799 ? ID2804,1,2799,2804,-1.0,0.001261683796622407,0.0018716266388374622,4.660350330705281,2340.0,181.2200107114361,44.703850651976694,0.0,
ID2799 ? ID2801,1,2799,2801,-1.0,0.001261683796622407,0.0023597782819142045,5.875847921966369,2340.0,184.82692286673006,44.92245138866117,0.0,
ID2807 ? ID2809,2,2807,2809,-1.0,NaN,0.0027225325175546434,6.125698164497948,2010.0,178.92470297624902,33.719163633581445,0.0,
ID2809 ? ID2811,2,2809,2811,-1.0,0.006981317007977318,0.0037940585174287425,1.7073263328429342,3360.0,180.29095758052702,36.01447136876851,0.0,
ID2809 ? ID2814,2,2809,2814,-1.0,0.006981317007977318,0.0047843723799407415,2.152967570973334,3360.0,179.30725426544686,35.686570263741785,0.0,
ID2820 ? ID2825,3,2820,2825,-1.0,0.0019946620022792336,0.004103825479434964,6.463525130110069,2797.5,200.51152572384166,58.803598168125816,0.0,
ID2820 ? ID2822,3,2820,2822,-1.0,0.0019946620022792336,0.001962845248025048,3.0914812656394504,2797.5,200.51152572384166,57.10944245882108,0.0,
ID2818 ? ID2820,3,2818,2820,-1.0,NaN,0.0024782078925362563,3.5686193652522094,1290.0,201.6591795914352,54.43158343443616,0.0,
ID2828 ? ID2830,4,2828,2830,-1.0,NaN,7.688103308892122E-4,0.7957186924703346,727.5,196.0848608059809,69.24178334480987,0.0,
