,"TRACK_ID","SPOT_SOURCE_ID","SPOT_TARGET_ID","LINK_COST","DIRECTIONAL_CHANGE_RATE","SPEED","DISPLACEMENT","EDGE_TIME","EDGE_X_LOCATION","EDGE_Y_LOCATION","EDGE_Z_LOCATION","MANUAL_EGE_COLOR"
,"Track ID","Source spot ID","Target spot ID","Edge cost","Directional change rate","Speed","Displacement","Edge time","Edge X","Edge Y","Edge Z","Manual edge color"
,"Track ID","Source ID","Target ID","Cost","? rate","Speed","Disp.","Edge T","Edge X","Edge Y","Edge Z","Edge color"
,"","","","(cost)","(rad/sec)","(micron/sec)","(micron)","(sec)","(micron)","(micron)","(micron)",""
"ID43315 ? ID43316","0","43315","43316","-1.0","0.023271056693257727","0.008882199168234675","1.199096887711681","2272.5","117.0948519514148","119.76685237626286","0.0",""
"ID43316 ? ID43317","0","43316","43317","-1.0","0.01120030003021623","0.005215806945344158","0.7041339376214613","2407.5","117.65151870659147","120.2121857804042","0.0",""
"ID43319 ? ID43320","0","43319","43320","-1.0","0.020943951023931952","0.0029688893609422467","0.44533340414133704","2820.0","117.54018535555613","117.20618530245014","0.0",""
"ID43321 ? ID43322","0","43321","43322","-1.0","0.01702393366694804","0.004453334041413465","0.6680001062120198","3135.0","117.65151870659147","116.76085189830877","0.0",""
"ID43309 ? ID43310","0","43309","43310","-1.0","0.023271056693257727","0.008246914891506387","1.1133335103533624","1402.5","113.53218471828404","116.64951854727344","0.0",""
"ID43310 ? ID43311","0","43310","43311","-1.0","0.020943951023931952","0.006120522212968814","0.9180783319453222","1545.0","113.53218471828404","117.0948519514148","0.0",""
"ID43311 ? ID43312","0","43311","43312","-1.0","0.0022868262694712154","0.0053522414110284714","0.8028362116542708","1695.0","114.31151817553139","117.4288520045208","0.0",""
"ID43320 ? ID43321","0","43320","43321","-1.0","0.015476303333589129","0.004865674010025979","0.8028362116542865","2977.5","117.65151870659147","116.98351860037945","0.0",""
"ID43314 ? ID43315","0","43314","43315","-1.0","0.00195000335997964","0.007633897453508759","1.2595930798289452","2122.5","116.42685184520278","118.76485221694483","0.0",""
"ID43313 ? ID43314","0","43313","43314","-1.0","0.023271056693257727","0.007376264920825397","0.9957957643114287","1972.5","115.53618503692007","118.09685211073283","0.0",""
"ID43305 ? ID43306","0","43305","43306","-1.0","0.006846676154060536","0.0054690067175253414","1.5586669144947223","727.5","114.53418487760206","116.09285179209677","0.0",""
"ID43306 ? ID43307","0","43306","43307","-1.0","0.020943951023931952","0.007569212392571544","1.1353818588857316","945.0","114.31151817553139","116.2041851431321","0.0",""
"ID43318 ? ID43319","0","43318","43319","-1.0","0.023271056693257727","0.02818466868813807","3.8049302728986394","2677.5","118.43085216383882","118.98751891901551","0.0",""
"ID43304 ? ID43305","0","43304","43305","-1.0","0.008828447766142337","0.004207357500742786","1.199096887711694","442.5","115.09085163277875","116.64951854727346","0.0",""
"ID43303 ? ID43304","0","43303","43304","-1.0","0.019039955476301777","0.005564111102699006","0.918078331945336","217.5","114.75685157967274","116.76085189830879","0.0",""
"ID43312 ? ID43313","0","43312","43313","-1.0","0.023271056693257727","0.0036881324604126986","0.49789788215571434","1837.5","114.86818493070807","117.76285205762682","0.0",""
"ID43307 ? ID43308","0","43307","43308","-1.0","0.019039955476301777","0.0030175629221559598","0.4978978821557334","1102.5","114.6455182286374","116.2041851431321","0.0",""
"ID43308 ? ID43309","0","43308","43309","-1.0","0.006181968120010577","0.0033193192143713864","0.49789788215570796","1260.0","114.20018482449605","116.2041851431321","0.0",""
"ID43317 ? ID43318","0","43317","43318","-1.0","0.023271056693257727","0.009617472802651393","1.2983588283579381","2542.5","118.54218551487416","120.43485248247487","0.0",""
"ID43302 ? ID43303","0","43302","43303","-1.0","NaN","0.003298765956602497","0.44533340414133704","67.5","114.86818493070807","116.31551849416743","0.0",""
"ID43325 ? ID43326","1","43325","43326","-1.0","NaN","0.002999031142449989","0.6297965399144977","3465.0","117.98551875969748","116.98351860037945","0.0",""
"ID43357 ? ID43358","2","43357","43358","-1.0","0.023271056693257727","0.009617472802651393","1.2983588283579381","2887.5","124.10885306664096","114.20018482449605","0.0",""
"ID43362 ? ID43363","2","43362","43363","-1.0","0.05235987755982988","0.018555558505889372","1.1133335103533624","3540.0","125.110853225959","110.86018429343598","0.0",""
"ID43337 ? ID43338","2","43337","43338","-1.0","0.005235987755982935","0.0083972871988595","1.259593079828925","1575.0","119.98951907833353","115.42485168588476","0.0",""
"ID43338 ? ID43339","2","43338","43339","-1.0","0.01071631446451382","0.004865674010025931","0.8028362116542787","1732.5","119.32151897212151","115.53618503692009","0.0",""
"ID43342 ? ID43354","2","43342","43354","-1.0","0.02303219089744114","0.028377057738542225","3.8309027947032","2332.5","120.88018588661623","117.65151870659147","0.0",""
