,"ID","TRACK_ID","QUALITY","POSITION_X","POSITION_Y","POSITION_Z","POSITION_T","FRAME","RADIUS","VISIBILITY","MANUAL_SPOT_COLOR","MEAN_INTENSITY_CH1","MEDIAN_INTENSITY_CH1","MIN_INTENSITY_CH1","MAX_INTENSITY_CH1","TOTAL_INTENSITY_CH1","STD_INTENSITY_CH1","CONTRAST_CH1","SNR_CH1"
,"Spot ID","Track ID","Quality","X","Y","Z","T","Frame","Radius","Visibility","Manual spot color","Mean intensity ch1","Median intensity ch1","Min intensity ch1","Max intensity ch1","Sum intensity ch1","Std intensity ch1","Contrast ch1","Signal/Noise ratio ch1"
,"Spot ID","Track ID","Quality","X","Y","Z","T","Frame","R","Visibility","Spot color","Mean ch1","Median ch1","Min ch1","Max ch1","Sum ch1","Std ch1","Ctrst ch1","SNR ch1"
,"","","(quality)","(micron)","(micron)","(micron)","(sec)","","(micron)","","","(counts)","(counts)","(counts)","(counts)","(counts)","(counts)","",""
"ID43302","43302","0","-1.0","115.09085163277874","116.31551849416743","0.0","0.0","0","5.0","1","","","","","","","","",""
"ID43303","43303","0","-1.0","114.6455182286374","116.31551849416743","0.0","135.0","9","5.0","1","","","","","","","","",""
"ID43304","43304","0","-1.0","114.86818493070808","117.20618530245014","0.0","300.0","20","5.0","1","","","","","","","","",""
"ID43305","43305","0","-1.0","115.31351833484942","116.09285179209677","0.0","585.0","39","5.0","1","","","","","","","","",""
"ID43306","43306","0","-1.0","113.7548514203547","116.09285179209677","0.0","870.0","58","5.0","1","","","","","","","","",""
"ID43307","43307","0","-1.0","114.86818493070808","116.31551849416743","0.0","1020.0","68","5.0","1","","","","","","","","",""
"ID43308","43308","0","-1.0","114.42285152656672","116.09285179209677","0.0","1185.0","79","5.0","1","","","","","","","","",""
"ID43309","43309","0","-1.0","113.97751812242538","116.31551849416743","0.0","1335.0","89","5.0","1","","","","","","","","",""
"ID43310","43310","0","-1.0","113.08685131414269","116.98351860037945","0.0","1470.0","98","5.0","1","","","","","","","","",""
"ID43311","43311","0","-1.0","113.97751812242538","117.20618530245014","0.0","1620.0","108","5.0","1","","","","","","","","",""
"ID43312","43312","0","-1.0","114.6455182286374","117.65151870659147","0.0","1770.0","118","5.0","1","","","","","","","","",""
"ID43313","43313","0","-1.0","115.09085163277874","117.87418540866216","0.0","1905.0","127","5.0","1","","","","","","","","",""
"ID43314","43314","0","-1.0","115.98151844106143","118.3195188128035","0.0","2040.0","136","5.0","1","","","","","","","","",""
"ID43315","43315","0","-1.0","116.87218524934413","119.21018562108618","0.0","2205.0","147","5.0","1","","","","","","","","",""
"ID43316","43316","0","-1.0","117.31751865348546","120.32351913143954","0.0","2340.0","156","5.0","1","","","","","","","","",""
"ID43317","43317","0","-1.0","117.98551875969748","120.10085242936886","0.0","2475.0","165","5.0","1","","","","","","","","",""
"ID43318","43318","0","-1.0","119.09885227005084","120.76885253558088","0.0","2610.0","174","5.0","1","","","","","","","","",""
"ID43319","43319","0","-1.0","117.7628520576268","117.20618530245014","0.0","2745.0","183","5.0","1","","","","","","","","",""
"ID43320","43320","0","-1.0","117.31751865348546","117.20618530245014","0.0","2895.0","193","5.0","1","","","","","","","","",""
"ID43321","43321","0","-1.0","117.98551875969748","116.76085189830877","0.0","3060.0","204","5.0","1","","","","","","","","",""
"ID43322","43322","0","-1.0","117.31751865348546","116.76085189830877","0.0","3210.0","214","5.0","1","","","","","","","","",""
"ID43325","43325","1","-1.0","118.20818546176817","116.76085189830877","0.0","3360.0","224","5.0","1","","","","","","","","",""
"ID43326","43326","1","-1.0","117.7628520576268","117.20618530245014","0.0","3570.0","238","5.0","1","","","","","","","","",""
"ID43328","43328","2","-1.0","125.11085322595899","113.42085136724869","0.0","210.0","14","5.0","1","","","","","","","","",""
"ID43329","43329","2","-1.0","125.33351992802967","111.86218445275401","0.0","375.0","25","5.0","1","","","","","","","","",""
"ID43330","43330","2","-1.0","125.77885333217101","112.30751785689534","0.0","525.0","35","5.0","1","","","","","","","","",""
"ID43331","43331","2","-1.0","125.33351992802967","112.30751785689534","0.0","660.0","44","5.0","1","","","","","","","","",""
"ID43332","43332","2","-1.0","123.5521863114643","112.30751785689534","0.0","810.0","54","5.0","1","","","","","","","","",""
"ID43333","43333","2","-1.0","123.77485301353495","112.53018455896601","0.0","960.0","64","5.0","1","","","","","","","","",""
"ID43334","43334","2","-1.0","122.21618609904026","112.53018455896601","0.0","1095.0","73","5.0","1","","","","","","","","",""
"ID43335","43335","2","-1.0","120.88018588661623","113.42085136724869","0.0","1230.0","82","5.0","1","","","","","","","","",""
"ID43336","43336","2","-1.0","120.43485248247487","113.64351806931937","0.0","1365.0","91","5.0","1","","","","","","","","",""
"ID43337","43337","2","-1.0","120.43485248247487","114.97951828174341","0.0","1500.0","100","5.0","1","","","","","","","","",""
"ID43338","43338","2","-1.0","119.54418567419219","115.8701850900261","0.0","1650.0","110","5.0","1","","","","","","","","",""
"ID43339","43339","2","-1.0","119.09885227005084","115.20218498381408","0.0","1815.0","121","5.0","1","","","","","","","","",""
