,"TRACK_INDEX","TRACK_ID","NUMBER_SPOTS","NUMBER_GAPS","NUMBER_SPLITS","NUMBER_MERGES","NUMBER_COMPLEX","LONGEST_GAP","TRACK_DURATION","TRACK_START","TRACK_STOP","TRACK_DISPLACEMENT","TRACK_X_LOCATION","TRACK_Y_LOCATION","TRACK_Z_LOCATION","TRACK_MEAN_SPEED","TRACK_MAX_SPEED","TRACK_MIN_SPEED","TRACK_MEDIAN_SPEED","TRACK_STD_SPEED","TRACK_MEAN_QUALITY","TOTAL_DISTANCE_TRAVELED","MAX_DISTANCE_TRAVELED","CONFINMENT_RATIO","MEAN_STRAIGHT_LINE_SPEED","LINEARITY_OF_FORWARD_PROGRESSION","MEAN_DIRECTIONAL_CHANGE_RATE"
,"Track index","Track ID","Number of spots in track","Number of gaps","Number of split events","Number of merge events","Number of complex points","Longest gap","Track duration","Track start","Track stop","Track displacement","Track mean X","Track mean Y","Track mean Z","Track mean speed","Track max speed","Track min speed","Track median speed","Track std speed","Track mean quality","Total distance traveled","Max distance traveled","Confinment ratio","Mean straight line speed","Linearity of forward progression","Mean directional change rate"
,"Index","ID","N spots","N gaps","N splits","N merges","N complex","Lgst gap","Duration","Track start","Track stop","Track disp.","Track X","Track Y","Track Z","Mean sp.","Max speed","Min speed","Med. speed","Std speed","Mean Q","Total dist.","Max dist.","Cfn. ratio","Mn. v. line","Fwd. progr.","Mn. ? rate"
,"","","","","","","","","(sec)","(sec)","(sec)","(micron)","(micron)","(micron)","(micron)","(micron/sec)","(micron/sec)","(micron/sec)","(micron/sec)","(micron/sec)","(quality)","(micron)","(micron)","","(micron/sec)","","(rad/sec)"
"Track_0","0","0","21","20","0","0","0","18","3210.0","0.0","3210.0","2.2707637177714215","115.78005809156892","117.48186788596621","0.0","0.0067525677086834515","0.02818466868813807","0.0029688893609422467","0.0054690067175253414","0.005431990034553658","-1.0","20.76257759033667","5.991348194921187","0.10936810267855575","7.074030273431219E-4","0.1047605974292473","0.016333292783387552"
"Track_1","1","1","2","1","0","0","0","13","210.0","3360.0","3570.0","0.6297965399144977","117.98551875969748","116.98351860037945","0.0","0.002999031142449989","0.002999031142449989","0.002999031142449989","0.002999031142449989","NaN","-1.0","0.6297965399144977","0.6297965399144977","1.0","0.002999031142449989","1.0","NaN"
"Track_2","2","2","35","34","1","0","0","11","3360.0","210.0","3570.0","6.761152587730074","121.70723363716442","113.71349903282729","0.0","0.00790336972252077","0.028377057738542225","0.0","0.005867782813512177","0.0061709027621082236","-1.0","36.06503173714644","6.974125856838257","0.18747113927439552","0.0020122477939672843","0.2546063090321277","0.016761089798208936"
"Track_3","3","3","35","34","1","0","0","10","2850.0","720.0","3570.0","13.5662326496099","89.9994952623007","118.00778542990454","0.0","0.012479537263378384","0.033962874210859036","0.003688132460412746","0.011530091736056602","0.0067337864598542635","-1.0","54.71851222811189","19.17003836939695","0.24792765916322163","0.00476008163144207","0.3814309401848326","0.015864257668956258"
"Track_4","4","4","6","5","0","0","0","8","630.0","1290.0","1920.0","5.974774585868591","68.92462207012603","160.51485885519588","0.0","0.010691954764074467","0.022128794762476194","0.0023325797774610283","0.006706037501156774","0.008872676435487836","-1.0","6.953651105446097","5.974774585868591","0.8592284104086196","0.0094837691839184","0.8870004964652829","0.015271630954950422"
"Track_5","5","5","14","13","0","0","0","10","1845.0","855.0","2700.0","7.125334466261506","92.7446576035434","177.97829020331005","0.0","0.00690666003504821","0.014082678752429164","0.0","0.006638638428742646","0.004232832888703833","-1.0","12.938581273941178","7.125334466261506","0.5507044640676498","0.0038619699004127407","0.5591660630196029","0.01605519134660624"
"Track_6","6","6","8","7","0","0","0","10","1065.0","570.0","1635.0","4.408575779401283","70.61317789416196","188.93269670696546","0.0","0.007997730716145934","0.013601160473264005","0.0026989903281294013","0.007993979251411135","0.003395245588584268","-1.0","8.3772202770295","4.408575779401283","0.5262575930454739","0.004139507774085712","0.5175852902534983","0.014465754928861931"
"Track_7","7","7","51","50","1","0","0","9","3315.0","255.0","3570.0","13.031234639234146","148.78774587947385","132.14668441001567","0.0","0.008393443130864594","0.02991993906762305","0.0","0.007650652766211133","0.0057418914844888915","-1.0","53.022588742621494","14.043897988787709","0.24576760486911428","0.003930990841397933","0.4683406773726491","0.01625465851809636"
"Track_8","8","8","18","17","0","0","0","15","2460.0","1110.0","3570.0","4.918868221754109","162.22197023773776","132.19907657520875","0.0","0.010116677917389454","0.03406347739792093","0.0","0.008534956819654022","0.008401362633687638","-1.0","23.962383472739774","5.676909294428549","0.20527458077573713","0.0019995399275423206","0.19764787847059279","0.01581775549846435"
"Track_9","9","9","30","29","2","0","0","23","3060.0","510.0","3570.0","18.361566638906396","170.21570484207493","139.21307769043491","0.0","0.011262189576165987","0.04694226250809742","0.0","0.008882199168234751","0.008978304467874995","-1.0","43.541113219107","20.468387547220225","0.42170641220190147","0.006000511973498822","0.5328015420906802","0.016794740989872253"
"Track_11","10","11","10","9","0","0","0","19","2025.0","480.0","2505.0","2.9707443372938354","172.80606080949698","137.9141885950227","0.0","0.008849406551164028","0.026720004248480603","0.0027660993453098065","0.0072218865397073876","0.0070276216051412665","-1.0","16.418708807885235","5.746354192054817","0.18093653843639082","0.001467034240638931","0.1657776973130431","0.008831587593613363"
"Track_12","11","12","33","31","1","0","0","10","3570.0","0.0","3570.0","9.759306536090962","45.54461835270544","185.9359740082643","0.0","0.010436988800192459","0.04198643599429717","0.0014844446804714076","0.009505083712653295","0.008416324142627222","-1.0","40.91846657342008","9.820081217100634","0.23850616490184987","0.0027336993098294013","0.26192413943943216","0.019341951726377475"
"Track_13","12","13","27","26","1","0","0","14","2205.0","675.0","2880.0","12.413169377704861","19.158614157330767","196.21575342052697","0.0","0.008776385018962921","0.029894355532318","0.0","0.007872456748930836","0.007351859330740399","-1.0","32.149837083710764","12.74572385783566","0.38610364790912716","0.005629555273335538","0.6414435170257339","0.020300271431686084"
