LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2592,2592,0,-1.0,101.73084950853841,234.71853732024744,0.0,105.0,7,5.0,1,,116.98281196287533,117.0,90.0,161.0,340303.0,8.97836963212591,-0.0022012502852774393,-0.05748850845660751
ID2594,2594,0,-1.0,99.50418248783167,231.82387019332867,0.0,1020.0,68,5.0,1,,120.75730491577775,120.0,95.0,154.0,351283.0,10.392249540195252,0.0063945266249794,0.1476637776725797
ID2600,2600,1,-1.0,100.61751599818504,233.1598704057527,0.0,1140.0,76,5.0,1,,121.53936060501812,121.0,94.0,162.0,353558.0,9.146536374582235,0.009081719620305052,0.239183946978552
ID2598,2598,1,-1.0,97.94551557333698,228.48386966226857,0.0,990.0,66,5.0,1,,120.66758336198039,120.0,77.0,169.0,351022.0,11.045758786842578,0.0018461598900020829,0.04026181315434475
ID2605,2605,2,-1.0,114.6455182286374,233.82787051196473,0.0,600.0,40,5.0,1,,120.365417669303,120.0,95.0,174.0,350143.0,8.59705815253716,0.00952802522762086,0.26428126506077865
ID2609,2609,2,-1.0,109.7468507830826,236.49987093681278,0.0,1245.0,83,5.0,1,,121.7425232038486,122.0,61.0,149.0,354149.0,10.588530133358256,0.007673621312015455,0.17511247680977138
ID2607,2607,2,-1.0,111.30551769757732,236.05453753267147,0.0,990.0,66,5.0,1,,120.40976280508832,120.0,94.0,170.0,350272.0,7.784793723703255,0.002715014319266257,0.08376048697226265
ID2613,2613,3,-1.0,196.5868645906448,228.48386966226857,0.0,630.0,42,5.0,1,,118.1955998624986,118.0,93.0,146.0,343831.0,6.700091965900674,-0.002679078860696365,-0.09477659653959983
ID2615,2615,3,-1.0,197.70019810099816,222.91720211050182,0.0,2700.0,180,5.0,1,,122.5307665864555,121.0,101.0,158.0,356442.0,8.808611837297402,0.009854975482939276,0.2714964855990787
ID2621,2621,4,-1.0,138.69352205227,268.7865427370603,0.0,2790.0,186,5.0,1,,121.47920247507734,121.0,98.0,152.0,353383.0,7.674696086750456,0.005941158480860084,0.18696886883687247
ID2619,2619,4,-1.0,142.70152268954212,269.4545428432723,0.0,945.0,63,5.0,1,,119.92196631144823,120.0,98.0,161.0,348853.0,7.144540492978634,0.0013411269070805864,0.044961651655938906
ID2632,2632,5,-1.0,69.44417770829092,275.6892105012511,0.0,4275.0,285,5.0,1,,121.36576143004301,122.0,79.0,152.0,353053.0,9.488768968267758,0.01661500432576409,0.41808082701473165
ID2626,2626,5,-1.0,80.57751281182453,271.681209863979,0.0,690.0,46,5.0,1,,119.57408044001511,119.0,100.0,159.0,347841.0,7.898890056295914,-0.005540689600688892,-0.1686855102601765
ID2635,2635,5,-1.0,70.55751121864428,277.69321081988716,0.0,4170.0,278,5.0,1,,119.30354073564807,119.0,88.0,162.0,347054.0,11.502690516113981,0.002908095818923634,0.06014942339795775
ID2628,2628,5,-1.0,80.8001795138952,269.677209545343,0.0,1650.0,110,5.0,1,,119.57614300447018,119.0,100.0,142.0,347847.0,6.715591507829966,-0.003931677912250231,-0.14056560609164348
ID2630,2630,5,-1.0,69.88951111243226,275.6892105012511,0.0,4140.0,276,5.0,1,,116.80921278790011,116.0,83.0,151.0,339798.0,10.45533358517712,-0.0046988938021451385,-0.1054897691569574
ID2642,2642,6,-1.0,98.16818227540763,266.1145423122122,0.0,1050.0,70,5.0,1,,120.4977655551736,120.0,90.0,163.0,350528.0,8.076560143639103,-0.006391320924624749,-0.1919366040905441
ID2644,2644,6,-1.0,100.61751599818504,265.44654220600023,0.0,1590.0,106,5.0,1,,123.98693709178158,124.0,93.0,170.0,360678.0,9.483162223273354,0.0013022082447070808,0.03400697593541351
ID2646,2646,6,-1.0,95.27351514848891,269.89987624741366,0.0,2865.0,191,5.0,1,,124.31729116534831,124.0,84.0,167.0,361639.0,13.218720576423943,0.02515035444324496,0.46145425560168435
ID2649,2649,6,-1.0,96.8321820629836,267.45054252463626,0.0,2985.0,199,5.0,1,,130.61464420763224,132.0,75.0,172.0,379958.0,12.809725610067186,0.07027542157887343,1.3390288919391606
ID2657,2657,7,-1.0,196.36419788857413,204.43586583863598,0.0,675.0,45,5.0,1,,116.93606050189318,117.0,96.0,142.0,340167.0,6.24219202114135,-0.005947941285054313,-0.2241810369985484
ID2659,2659,7,-1.0,196.80953129271546,199.31453169101053,0.0,1605.0,107,5.0,1,,122.34822963217441,122.0,98.0,151.0,355911.0,9.274327527882027,0.007616839381114183,0.19944568129773835
ID2665,2665,8,-1.0,216.40420107493463,204.43586583863598,0.0,1665.0,111,5.0,1,,125.19800618769298,124.0,88.0,168.0,364201.0,12.643562775369409,0.01643083031062487,0.3201397637331891
ID2663,2663,8,-1.0,218.63086809564138,209.3345332841908,0.0,1290.0,86,5.0,1,,121.45788930903967,121.0,91.0,176.0,353321.0,8.285527301784976,-1.1274768394722389E-4,-0.003305918710915925
ID2673,2673,9,-1.0,225.75620256190285,184.39586265227547,0.0,2085.0,139,5.0,1,,118.97799931247908,119.0,93.0,160.0,346107.0,8.145145471869034,-0.006249079117080321,-0.18371147801446414
ID2675,2675,9,-1.0,232.65887032609373,181.5011955253568,0.0,3525.0,235,5.0,1,,120.95221725678947,120.0,102.0,148.0,351850.0,6.5044254905727215,-0.00790128201816676,-0.2961948898037059
