LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2008,2008,0,-1.0,7.575500765125577,150.36551518691704,0.0,3555.0,237,5.0,1,,121.75033239769525,122.0,72.0,174.0,824128.0,15.146663128332346,70.88831437435107,69.0,0.0,231.0,479843.0,28.066604245739853,0.030068447958332967,0.4692757494373554,0.07648738120805598,0.35891831706883
ID2001,2001,0,-1.0,66.65350673200417,83.65750844940835,0.0,0.0,0,5.0,1,,128.49889200768322,128.0,76.0,190.0,869809.0,15.099259066695595,81.54675727581626,75.0,9.0,255.0,551990.0,30.909359623117513,0.02928891219401898,0.4843281252962091,-0.0023077269689832703,-0.012204907739721988
ID2012,2012,0,-1.0,4.523500456873546,151.45551529700705,0.0,3555.0,237,5.0,1,,121.91667897769234,122.0,62.0,174.0,825254.0,15.192378481004177,68.57068990988066,63.0,0.0,214.0,464155.0,24.912430629975393,0.1407428093541778,1.980185263369355,0.20114951467809944,0.9218798685914397
ID2005,2005,0,-1.0,5.83150058898156,150.14751516489903,0.0,1845.0,123,5.0,1,,123.03678534495396,122.0,65.0,177.0,832836.0,18.10943160534655,66.65903383069922,60.0,0.0,255.0,451215.0,32.24583065870943,0.0939109347459254,1.1665258080232461,0.10145422116555057,0.38081944080761376
ID2016,2016,1,-1.0,72.53950732649024,77.11750778886828,0.0,0.0,0,5.0,1,,123.40892303146732,123.0,72.0,175.0,835355.0,14.404747979030306,89.41985522233762,81.0,3.0,255.0,605283.0,38.47774749800687,-0.0021558037956986974,-0.037018378375461,0.05906895926592897,0.25923246977457776
ID2033,2033,1,-1.0,12.589501271539628,148.621515010773,0.0,2895.0,193,5.0,1,,120.97562416900541,121.0,59.0,170.0,818884.0,14.783109741426301,82.03191017875464,69.0,0.0,255.0,555274.0,44.695312588745324,-0.013994395795362373,-0.23229338124429888,0.1110486181988041,0.36688582828599264
ID2019,2019,1,-1.0,71.44950721640024,79.07950798703031,0.0,540.0,36,5.0,1,,125.07475254838187,126.0,76.0,172.0,846631.0,14.137016192737015,93.01743241246865,75.0,0.0,255.0,629635.0,55.824983422122486,0.006025357273249317,0.10597801202762881,0.15047478936444963,0.43586538288263904
