LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2008,2008,0,-1.0,109.12717768851161,62.58417298766813,0.0,3555.0,237,5.0,1,,146.59462254395055,148.0,91.0,201.0,992299.0,18.140660855647955,-0.031620968543168516,-0.5277457228882099
ID2011,2011,0,-1.0,106.51117742429558,63.60150642375215,0.0,3555.0,237,5.0,1,,146.90338306987744,148.0,91.0,204.0,994389.0,18.097674692462142,-0.03130595460126115,-0.5246616691348637
ID2004,2004,0,-1.0,110.76217785364663,63.02017303170414,0.0,555.0,37,5.0,1,,146.59137243314936,147.0,79.0,219.0,992277.0,21.37240070377,-0.03505058572123348,-0.4982827256392232
ID2006,2006,0,-1.0,109.27251103652361,64.18283981580016,0.0,1350.0,90,5.0,1,,145.67750036932992,146.0,78.0,219.0,986091.0,21.830846128519394,-0.03704151757891189,-0.5133731090582401
ID2017,2017,1,-1.0,122.06184566157977,51.538838538756025,0.0,930.0,62,5.0,1,,160.1230610134439,160.0,100.0,230.0,1083873.0,20.673123312848606,0.02022774707459347,0.3071341924815136
ID2019,2019,1,-1.0,123.80584583772378,55.60817228309207,0.0,2805.0,187,5.0,1,,150.73467277293665,149.0,92.0,232.0,1020323.0,21.88078012894996,-0.026512092492078816,-0.3752267580384293
ID2022,2022,1,-1.0,116.24851174109969,47.614838142431985,0.0,3555.0,237,5.0,1,,157.93499778401477,161.0,78.0,218.0,1069062.0,22.516704460497106,0.015472269329924357,0.2137418161691546
ID2015,2015,1,-1.0,122.06184566157977,51.82950523478003,0.0,75.0,5,5.0,1,,158.82508494608146,157.0,80.0,213.0,1075087.0,24.051808554991776,0.01385939549281041,0.18053770253622675
ID2032,2032,2,-1.0,131.83551331538683,57.06150576321208,0.0,3555.0,237,5.0,1,,152.60865711331334,153.0,105.0,193.0,1033008.0,11.743580892674894,-0.00660693600781841,-0.17285725013729117
ID2035,2035,2,-1.0,132.27151335942284,55.64450562009507,0.0,3555.0,237,5.0,1,,153.0056138277466,153.0,105.0,193.0,1035695.0,11.534777475604905,-0.0045649691483951906,-0.12166147209941364
ID2028,2028,2,-1.0,131.72651330437785,53.79150543294205,0.0,720.0,48,5.0,1,,152.8769389865584,152.0,103.0,229.0,1034824.0,19.14364362753446,-0.0035917080101177897,-0.057571966398939474
ID2030,2030,2,-1.0,132.92551342547685,56.84350574119408,0.0,2205.0,147,5.0,1,,154.15068695523863,153.0,87.0,228.0,1043446.0,22.680795487371405,-0.0048404613044387545,-0.0661167077683954
ID2040,2040,3,-1.0,113.74151148789267,83.98450848243536,0.0,690.0,46,5.0,1,,154.4049342591229,154.0,107.0,210.0,1045167.0,15.634601424452788,0.0042319203503878855,0.0832353518674606
ID2042,2042,3,-1.0,115.48551166403668,86.16450870261538,0.0,3555.0,237,5.0,1,,154.84680159551013,156.0,74.0,231.0,1048158.0,21.480735683502857,0.006822212986742043,0.09769122802766694
ID2045,2045,3,-1.0,114.83151159798267,83.33050841638135,0.0,3555.0,237,5.0,1,,150.85921110947066,151.0,61.0,216.0,1021166.0,19.47330577314847,-0.01016494852432201,-0.1591125733407278
ID2038,2038,3,-1.0,113.74151148789267,83.76650846041736,0.0,150.0,10,5.0,1,,154.7654010932181,156.0,88.0,214.0,1047607.0,18.195985584497976,0.006265417201537077,0.10591701600046233
ID2056,2056,4,-1.0,123.00651242365775,74.82850755767926,0.0,3555.0,237,5.0,1,,158.59107696853286,159.0,90.0,226.0,1073503.0,19.160676295799767,0.02030935313720321,0.32950509434544184
ID2049,2049,4,-1.0,125.18651264383777,77.0085077778593,0.0,165.0,11,5.0,1,,157.67351159698742,159.0,73.0,217.0,1067292.0,24.82301555324838,0.015871608876438244,0.19847980561091288
ID2051,2051,4,-1.0,126.16751274291879,77.66250784391329,0.0,615.0,41,5.0,1,,158.20948441424167,159.0,92.0,221.0,1070920.0,21.262893985147254,0.016859443669909414,0.2467302792926557
ID2053,2053,4,-1.0,124.31451255576577,76.89950776685029,0.0,3555.0,237,5.0,1,,161.76318510858258,161.0,108.0,226.0,1094975.0,16.590247612929378,0.031955209509066676,0.6038619132979057
ID2068,2068,5,-1.0,156.14251577039408,36.67850370452887,0.0,3315.0,221,5.0,1,,150.63258974737826,150.0,100.0,192.0,1019632.0,11.888650861713634,-0.013452183975589067,-0.34553418798251007
ID2071,2071,5,-1.0,155.16151567131308,35.26150356141186,0.0,3240.0,216,5.0,1,,152.06382035751412,152.0,109.0,204.0,1029320.0,13.132510401040799,-0.01391952153564471,-0.3269038878123579
ID2060,2060,5,-1.0,149.71151512086303,37.65950380360989,0.0,435.0,29,5.0,1,,153.05628600975078,152.0,100.0,208.0,1036038.0,18.360849575606355,-0.005888230641304143,-0.09875020168062458
ID2062,2062,5,-1.0,152.76351542911507,38.640503902690895,0.0,2145.0,143,5.0,1,,155.31363569212667,155.0,83.0,239.0,1051318.0,22.024336258375264,0.0029324544328564934,0.04123788089665571
ID2082,2082,6,-1.0,143.06251444931397,28.939502922889794,0.0,3555.0,237,5.0,1,,155.60629339636617,154.0,106.0,223.0,1053299.0,15.927963630016484,-0.005851640857058123,-0.11500675815601312
