LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,4,3,1,0,0,146,3000.0,555.0,3555.0,1.692135212798008,108.91826100074435,63.34717306473115,0.0,0.0014615749527679463,0.002376959560844585,7.280087513057082E-4,0.001279756546153546,8.393766394221243E-4,-1.0,6.316805331769101,4.29056559943475,0.2678783220194795,5.640450709326693E-4,0.3859159394217004,6.832407441758157E-4
Track_1,1,1,4,3,1,0,0,174,3480.0,75.0,3555.0,7.180408760671344,121.04451222549575,51.64783854976503,0.0,0.0017910308654522263,0.002671903168268805,3.3996104798129185E-4,0.0023612283801065824,0.0012662276325294986,-1.0,11.73171572542946,7.180408760671344,0.6120510357327544,0.0020633358507676273,1.1520381309825418,9.158910236782326E-4
Track_2,2,2,4,3,1,0,0,98,2835.0,720.0,3555.0,3.271816492770654,132.1897633511661,55.835255639360824,0.0,0.0013477348893879005,0.002208128675893118,8.233973083210785E-4,0.0010116786839495047,7.510463168105698E-4,-1.0,5.756423673266568,3.2790710837012806,0.5683765960391886,0.0011540798916298604,0.8563107631308764,0.001764560715136978
Track_3,3,3,4,3,1,0,0,190,3405.0,150.0,3555.0,2.9651208703815306,114.45001155945118,84.31150851546236,0.0,6.072741499569235E-4,9.744371551444064E-4,4.0370374447778405E-4,4.4368155024858007E-4,3.1860015775622203E-4,-1.0,4.280910112968909,2.9651208703815306,0.6926379653239557,8.708137651634451E-4,1.4339714035666027,4.8620536985847097E-4
Track_4,4,4,4,3,1,0,0,195,3390.0,165.0,3555.0,3.0829858773549277,124.66876259154502,76.59975773657553,0.0,0.0015818875678555338,0.0026200341914606154,6.816125239049968E-4,0.001444015988200989,9.765377973584053E-4,-1.0,7.428363211748875,3.0829858773549277,0.41502896256860516,9.09435362051601E-4,0.5749051832327539,0.001010694837367441
Track_5,5,5,4,3,1,0,0,113,2880.0,435.0,3315.0,6.505392420804901,153.4447654979213,37.06000374306038,0.0,0.0029994234342295137,0.0037839583386246366,0.0018747289466738886,0.0033395830173900158,9.990348463812966E-4,-1.0,11.256533009952644,6.505392420804901,0.5779214981249603,0.0022588168127794794,0.7530836716822945,9.351643478986907E-4
Track_6,6,6,4,3,1,0,0,155,3555.0,0.0,3555.0,0.8988371171671967,143.52576449610223,28.585252887110542,0.0,0.001289554322064547,0.00179805850481113,5.038527291270435E-4,0.0015667517322554678,6.901963130993436E-4,-1.0,7.29007564210572,3.014791342028701,0.12329599325084231,2.5283744505406376E-4,0.19606575754736474,0.001116428957102129
