LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2620 ? ID2622,0,2620,2622,-1.0,NaN,0.009188755457024042,2.0674699778304095,1207.5,131.70189542356732,99.26282577899406,0.0,
ID2626 ? ID2628,1,2626,2628,-1.0,NaN,0.008144095639229755,4.397811645184068,1230.0,110.31829346055265,131.4109620635263,0.0,
ID2632 ? ID2634,2,2632,2634,-1.0,NaN,0.013375905340034173,5.015964502512815,1387.5,81.00675743642032,150.0306971061513,0.0,
ID2638 ? ID2640,3,2638,2640,-1.0,NaN,0.010222356278393619,0.4600060325277128,1987.5,87.77095805737393,164.7228317882226,0.0,
ID2644 ? ID2646,4,2644,2646,-1.0,NaN,0.008437315145820688,1.518716726247724,1800.0,113.0821603809423,86.97089131726113,0.0,
ID2650 ? ID2652,5,2650,2652,-1.0,NaN,0.0034497823132525673,0.9314412245781932,1425.0,149.085163686018,96.20802549856339,0.0,
ID2656 ? ID2658,6,2656,2658,-1.0,NaN,0.026112068195238133,0.783362045857144,975.0,95.33522541844036,107.91809324021428,0.0,
ID2661 ? ID2663,7,2661,2663,-1.0,NaN,0.012940675464948235,2.7175418476391293,1605.0,119.77362766188567,150.3943638062026,0.0,
ID2667 ? ID2669,8,2667,2669,-1.0,NaN,0.008415443744490195,8.962447587882057,847.5,119.84636100189593,38.239553510391005,0.0,
ID2673 ? ID2675,9,2673,2675,-1.0,NaN,0.015333534417590427,0.9200120650554257,1875.0,73.4424900753539,73.00609003529237,0.0,
ID2678 ? ID2680,10,2678,2680,-1.0,NaN,0.0048564519422006815,2.258250153123317,1927.5,182.32430007070406,92.64409183806094,0.0,
ID2684 ? ID2686,11,2684,2686,-1.0,NaN,0.005169421931652836,7.133802265680914,2205.0,107.554426540163,162.1771648878637,0.0,
ID2690 ? ID2692,12,2690,2692,-1.0,NaN,0.010176845743326212,3.35835909529765,1575.0,143.33922982520795,164.0682317281303,0.0,
ID2695 ? ID2697,13,2695,2697,-1.0,NaN,0.008606468240487901,17.428098186988,1297.5,83.69789101679972,47.47668769169326,0.0,
