LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2620,2620,0,-1.0,132.5019621636801,98.60822571890178,0.0,1095.0,73,5.0,1,,143.6469197813562,143.0,5.0,255.0,972346.0,38.322612859314084,0.0126995628471426,0.09401114686320874
ID2622,2622,0,-1.0,130.90182868345454,99.91742583908635,0.0,1320.0,88,5.0,1,,143.79243610577635,143.0,3.0,255.0,973331.0,38.329847537951366,0.015789325084894702,0.11662425093516421
ID2628,2628,1,-1.0,109.08182668037833,133.22929556378264,0.0,1500.0,100,5.0,1,,129.31614714137982,129.0,8.0,255.0,875341.0,37.96668130934041,0.007566257444581126,0.05115494415021493
ID2626,2626,1,-1.0,111.55476024072698,129.59262856326995,0.0,960.0,64,5.0,1,,128.24656522381446,128.0,0.0,255.0,868101.0,35.73554916865782,5.883888138608966E-4,0.0042206974912569325
ID2632,2632,2,-1.0,83.18875763672794,148.79423032597697,0.0,1200.0,80,5.0,1,,128.81784606293397,129.0,0.0,255.0,871968.0,37.54424577336506,-0.0031020136433577723,-0.021352839193304517
ID2634,2634,2,-1.0,78.8247572361127,151.26716388632562,0.0,1575.0,105,5.0,1,,129.09942384399469,128.0,0.0,255.0,873874.0,38.09230826736722,0.004812237732127571,0.03246229108895897
ID2640,2640,3,-1.0,87.55275803734317,164.65009844821236,0.0,2010.0,134,5.0,1,,120.3662283941498,120.0,0.0,255.0,814759.0,43.08613877550391,-0.038300345819481545,-0.22251552000553493
ID2638,2638,3,-1.0,87.9891580774047,164.79556512823285,0.0,1965.0,131,5.0,1,,122.0715024375831,122.0,0.0,255.0,826302.0,41.69052400825933,-0.039856353921054244,-0.24309066750382638
ID2644,2644,4,-1.0,113.30036040097306,86.2435579171586,0.0,1710.0,114,5.0,1,,127.5166198847688,128.0,0.0,255.0,863160.0,33.856397783028086,-0.013802435005973406,-0.10542602307228174
ID2646,2646,4,-1.0,112.86396036091155,87.69822471736369,0.0,1890.0,126,5.0,1,,129.79406116117596,130.0,15.0,254.0,878576.0,35.024980365375725,0.0018597851071864011,0.013758235466209731
ID2652,2652,5,-1.0,148.794230325977,96.57169219861466,0.0,1560.0,104,5.0,1,,127.29295316885803,126.0,0.0,255.0,861646.0,37.74023536656806,0.010091935294979862,0.06739742547794927
ID2650,2650,5,-1.0,149.37609704605902,95.84435879851212,0.0,1290.0,86,5.0,1,,131.6656817846063,131.0,0.0,255.0,891245.0,39.92078525569395,0.030421185514662902,0.19474435056094003
ID2656,2656,6,-1.0,95.69889211849163,108.06355992023478,0.0,960.0,64,5.0,1,,136.89643965135176,137.0,0.0,255.0,926652.0,40.05041593070851,-2.3597784826304954E-4,-0.0016135738650931636
ID2658,2658,6,-1.0,94.97155871838908,107.77262656019377,0.0,990.0,66,5.0,1,,135.7794356625794,136.0,0.0,255.0,919091.0,42.77455762898359,-0.00504136116272978,-0.032167792032620615
ID2661,2661,7,-1.0,120.13729436193694,149.085163686018,0.0,1500.0,100,5.0,1,,132.30477175358251,132.0,5.0,255.0,895571.0,36.6632256925719,0.014463620175491554,0.10289999705954687
ID2663,2663,7,-1.0,119.4099609618344,151.70356392638715,0.0,1710.0,114,5.0,1,,131.48323238292215,131.0,0.0,255.0,890010.0,38.25619811583879,0.017400130090072387,0.11755991583569278
ID2669,2669,8,-1.0,116.20969400138323,40.857953750760146,0.0,1380.0,92,5.0,1,,140.7841630964692,140.0,13.0,255.0,952968.0,38.43340249889981,0.034393349970326774,0.2435923942400986
ID2667,2667,8,-1.0,123.48302800240863,35.621153270021864,0.0,315.0,21,5.0,1,,138.67971635396663,138.0,15.0,255.0,938723.0,34.62514482020605,0.027394092192402963,0.21358521722899929
ID2673,2673,9,-1.0,73.00609003529239,73.15155671531289,0.0,1845.0,123,5.0,1,,130.62579406116117,130.0,0.0,255.0,884206.0,33.721439926121704,-0.008538459734741134,-0.06672006960992778
ID2675,2675,9,-1.0,73.87889011541543,72.86062335527187,0.0,1905.0,127,5.0,1,,133.18747230019204,132.0,4.0,255.0,901546.0,37.31023121975864,0.010863856297000495,0.07672851195163002
ID2680,2680,10,-1.0,181.23329997055026,92.93502519810197,0.0,2160.0,144,5.0,1,,125.76879893632737,126.0,0.0,255.0,851329.0,41.865386356907564,-0.028031388825169715,-0.1732767051503304
ID2678,2678,10,-1.0,183.41530017085788,92.35315847801994,0.0,1695.0,113,5.0,1,,129.47924361057764,129.0,0.0,255.0,876445.0,40.036329789004014,-0.025296722537957433,-0.16786792503608614
ID2684,2684,11,-1.0,110.97289352064494,163.19543164800726,0.0,1515.0,101,5.0,1,,126.27212291328114,126.0,3.0,255.0,854736.0,38.26615055900282,0.0010769255613912118,0.007099715333940873
ID2686,2686,11,-1.0,104.13595955968107,161.15889812772016,0.0,2895.0,193,5.0,1,,115.56241690057615,114.0,0.0,249.0,782242.0,37.62319378034472,-0.04087245257913339,-0.26178531830692586
ID2692,2692,12,-1.0,141.6663630049721,164.21369840815083,0.0,1740.0,116,5.0,1,,130.56817846062933,131.0,0.0,255.0,883816.0,40.92372897993288,-0.0018550275892708214,-0.011859022436162898
ID2690,2690,12,-1.0,145.01209664544376,163.9227650481098,0.0,1410.0,94,5.0,1,,128.17077854926873,129.0,0.0,255.0,867588.0,43.62866250620149,-0.013303032752512569,-0.07921619639343762
