LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,2,1,0,0,0,14,225.0,1095.0,1320.0,2.0674699778304095,131.70189542356732,99.26282577899406,0.0,0.009188755457024042,0.009188755457024042,0.009188755457024042,0.009188755457024042,NaN,-1.0,2.0674699778304095,2.0674699778304095,1.0,0.009188755457024042,1.0,NaN
Track_1,1,1,2,1,0,0,0,35,540.0,960.0,1500.0,4.397811645184068,110.31829346055265,131.4109620635263,0.0,0.008144095639229755,0.008144095639229755,0.008144095639229755,0.008144095639229755,NaN,-1.0,4.397811645184068,4.397811645184068,1.0,0.008144095639229755,1.0,NaN
Track_2,2,2,2,1,0,0,0,24,375.0,1200.0,1575.0,5.015964502512815,81.00675743642032,150.0306971061513,0.0,0.013375905340034173,0.013375905340034173,0.013375905340034173,0.013375905340034173,NaN,-1.0,5.015964502512815,5.015964502512815,1.0,0.013375905340034173,1.0,NaN
Track_3,3,3,2,1,0,0,0,2,45.0,1965.0,2010.0,0.4600060325277128,87.77095805737393,164.7228317882226,0.0,0.010222356278393619,0.010222356278393619,0.010222356278393619,0.010222356278393619,NaN,-1.0,0.4600060325277128,0.4600060325277128,1.0,0.010222356278393619,1.0,NaN
Track_4,4,4,2,1,0,0,0,11,180.0,1710.0,1890.0,1.518716726247724,113.0821603809423,86.97089131726113,0.0,0.008437315145820688,0.008437315145820688,0.008437315145820688,0.008437315145820688,NaN,-1.0,1.518716726247724,1.518716726247724,1.0,0.008437315145820688,1.0,NaN
Track_5,5,5,2,1,0,0,0,17,270.0,1290.0,1560.0,0.9314412245781932,149.085163686018,96.20802549856339,0.0,0.0034497823132525673,0.0034497823132525673,0.0034497823132525673,0.0034497823132525673,NaN,-1.0,0.9314412245781932,0.9314412245781932,1.0,0.0034497823132525673,1.0,NaN
Track_6,6,6,2,1,0,0,0,1,30.0,960.0,990.0,0.783362045857144,95.33522541844036,107.91809324021428,0.0,0.026112068195238133,0.026112068195238133,0.026112068195238133,0.026112068195238133,NaN,-1.0,0.783362045857144,0.783362045857144,1.0,0.026112068195238133,1.0,NaN
Track_7,7,7,2,1,0,0,0,13,210.0,1500.0,1710.0,2.7175418476391293,119.77362766188567,150.3943638062026,0.0,0.012940675464948235,0.012940675464948235,0.012940675464948235,0.012940675464948235,NaN,-1.0,2.7175418476391293,2.7175418476391293,1.0,0.012940675464948235,1.0,NaN
