LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2001 ? ID2004,0,2001,2004,-1.0,NaN,0.0019687219852399483,3.927600360553697,2362.5,123.91942804247013,179.88773318036056,0.0,
ID2004 ? ID2009,0,2004,2009,-1.0,0.012752119259947596,0.007744604404453905,1.62636692493532,3465.0,123.55576134241886,181.12419996053487,0.0,
ID2004 ? ID2006,0,2004,2006,-1.0,0.008831383028586775,0.01731746190720328,3.636667000512689,3465.0,122.17382788222403,181.34239998056563,0.0,
ID2014 ? ID2016,1,2014,2016,-1.0,0.00202584083332429,0.0068287406400082224,6.248297685607524,3112.5,121.15556112208048,187.0156005013654,0.0,
ID2014 ? ID2019,1,2014,2019,-1.0,0.0016139181335157492,0.004585683704353678,4.195900589483616,3112.5,122.46476124226507,186.50646712129367,0.0,
ID2012 ? ID2014,1,2012,2014,-1.0,NaN,0.0019349457582544009,2.147789791662385,2100.0,123.70122802243938,188.615733981591,0.0,
ID2023 ? ID2025,2,2023,2025,-1.0,NaN,0.001142872130503638,2.7600361951662857,2362.5,167.413965368602,181.9970000406579,0.0,
ID2031 ? ID2036,3,2031,2036,-1.0,9.551120104722763E-4,0.004398037009931778,7.586613842132317,2707.5,195.779967972601,192.03420096207296,0.0,
ID2029 ? ID2031,3,2029,2031,-1.0,NaN,0.0032325928893446837,1.0182667601435753,1687.5,195.56176795257028,195.81633464260617,0.0,
ID2031 ? ID2033,3,2031,2033,-1.0,5.07859739477208E-4,6.586267191219551E-4,1.1361310904853725,2707.5,196.43456803269333,195.37993460254467,0.0,
ID2039 ? ID2041,4,2039,2041,-1.0,NaN,0.0016854081345440701,0.8848392706356368,1672.5,142.83009644513615,172.90533253937616,0.0,
ID2047 ? ID2052,5,2047,2052,-1.0,0.00249815948316161,9.534876976541399E-4,1.172789868114592,2955.0,123.62849468242912,145.8485300555617,0.0,
ID2045 ? ID2047,5,2045,2047,-1.0,NaN,5.55013305487245E-4,0.5244875736854465,1867.5,123.77396136244963,145.5575966955207,0.0,
ID2047 ? ID2049,5,2047,2049,-1.0,0.0015602079849365601,0.005478646439283769,6.738735120319036,2955.0,120.64642774200871,144.5393299353771,0.0,
