LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2001,2001,0,-1.0,123.91942804247013,177.9239330000837,0.0,1365.0,91,5.0,1,,105.4216280100458,106.0,0.0,255.0,713599.0,44.345920654916725,0.01086016870369839,0.051080074995585124
ID2009,2009,0,-1.0,123.1920946423676,180.39686656043233,0.0,3570.0,238,5.0,1,,140.69109174176393,139.0,0.0,255.0,952338.0,45.22935881115371,0.008409641004608016,0.05188199075371662
ID2004,2004,0,-1.0,123.91942804247013,181.8515333606374,0.0,3360.0,224,5.0,1,,136.47274338897918,136.0,0.0,255.0,923784.0,45.22811766190639,-0.011923855323144687,-0.07282721259237801
ID2006,2006,0,-1.0,120.42822772197795,180.83326660049386,0.0,3570.0,238,5.0,1,,134.1973703648988,134.0,0.0,255.0,908382.0,44.56118511498897,0.004431504435679601,0.026573461577496255
ID2016,2016,1,-1.0,118.10076084164983,186.36100044127312,0.0,3570.0,238,5.0,1,,120.93130447628896,121.0,0.0,255.0,818584.0,44.74477308873107,-0.04936819498380861,-0.2807122283144711
ID2019,2019,1,-1.0,120.71916108201897,185.3427336811296,0.0,3570.0,238,5.0,1,,129.54853006352488,129.0,0.0,255.0,876914.0,43.01444364715797,-0.020794648516224257,-0.12791632711713466
ID2012,2012,1,-1.0,123.1920946423676,189.5612674017243,0.0,1545.0,103,5.0,1,,111.76170778549269,111.0,0.0,255.0,756515.0,46.27632570465946,0.006268518699783581,0.03008951557228906
ID2014,2014,1,-1.0,124.21036140251115,187.6702005614577,0.0,2655.0,177,5.0,1,,144.21613236814892,144.0,0.0,255.0,976199.0,44.26650497963998,-4.1905120651796043E-4,-0.002731603944344865
ID2025,2025,2,-1.0,166.97756532854046,180.6877999204733,0.0,3570.0,238,5.0,1,,119.09617373319546,119.0,0.0,255.0,806162.0,41.8473430083524,0.013326794312300702,0.07485763189942722
ID2023,2023,2,-1.0,167.85036540866352,183.30620016084245,0.0,1155.0,77,5.0,1,,118.28881666420446,119.0,0.0,255.0,800697.0,38.59959632176135,-0.002091860235957588,-0.01284792579190309
ID2033,2033,3,-1.0,196.7982347327446,194.94353456248314,0.0,3570.0,238,5.0,1,,137.9066331806766,138.0,0.0,255.0,933490.0,39.34838070181462,0.03468659187572499,0.2349855170463051
ID2036,2036,3,-1.0,195.48903461256,188.25206728153975,0.0,3570.0,238,5.0,1,,131.02393263406708,131.0,0.0,255.0,886901.0,39.35544539184809,0.00974559278044268,0.06426464140669941
ID2029,2029,3,-1.0,195.05263457249848,195.81633464260617,0.0,1530.0,102,5.0,1,,114.81356182597133,116.0,0.0,251.0,777173.0,40.30188372044338,-0.018633078269469704,-0.10818101029714106
ID2031,2031,3,-1.0,196.07090133264205,195.81633464260617,0.0,1845.0,123,5.0,1,,132.2931009011671,132.0,0.0,255.0,895492.0,37.36151040553748,0.027930680603224133,0.19242453990452063
ID2041,2041,4,-1.0,142.39369640507462,172.9780658793864,0.0,1935.0,129,5.0,1,,135.48086866597725,135.0,0.0,255.0,917070.0,46.203709459341646,-0.040083017602126694,-0.24488256091214006
ID2039,2039,4,-1.0,143.26649648519768,172.8325991993659,0.0,1410.0,94,5.0,1,,136.47820948441424,137.0,0.0,255.0,923821.0,50.469786265003904,-0.0045687426177681255,-0.02482259977455109
ID2049,2049,5,-1.0,117.37342744154728,143.73926319526433,0.0,3570.0,238,5.0,1,,126.68651204018319,125.0,0.0,255.0,857541.0,44.85020836834534,-0.005374084274023492,-0.030523941424880956
ID2052,2052,5,-1.0,123.33756132238811,146.35766343563347,0.0,3570.0,238,5.0,1,,125.52681341409367,124.0,0.0,255.0,849691.0,41.75402789025156,-0.028117069387228827,-0.1739499149922354
ID2045,2045,5,-1.0,123.62849468242914,145.77579671555145,0.0,1395.0,93,5.0,1,,105.72713842517359,105.0,0.0,255.0,715667.0,46.14174287006682,-0.022883762918821715,-0.10732568979285972
ID2047,2047,5,-1.0,123.91942804247013,145.33939667548992,0.0,2340.0,156,5.0,1,,148.58782685773377,146.0,0.0,255.0,1005791.0,44.713231320297396,0.0054148986428218665,0.03579498507015056
ID2056,2056,6,-1.0,117.8098274816088,157.5585977972126,0.0,1350.0,90,5.0,1,,97.61190722410991,96.0,0.0,255.0,660735.0,43.4745847745282,-0.05909871966819942,-0.2820534161766853
ID2058,2058,6,-1.0,117.5188941215678,158.72233123737664,0.0,2385.0,159,5.0,1,,132.29531688580292,133.0,0.0,255.0,895507.0,42.03897961375731,-0.037580454174926003,-0.2457649186935668
ID2060,2060,6,-1.0,115.48236060128069,154.50379751678193,0.0,3570.0,238,5.0,1,,130.9113606145664,130.0,0.0,255.0,886139.0,48.9296740719026,0.0390161220662218,0.20093557055254316
ID2063,2063,6,-1.0,115.77329396132171,160.17699803758174,0.0,3570.0,238,5.0,1,,114.73821834835279,114.0,0.0,255.0,776663.0,40.970821009461226,-0.03991400582492149,-0.2328512710297663
ID2073,2073,7,-1.0,109.51822672043986,162.64993159793036,0.0,3420.0,228,5.0,1,,117.21731422662137,118.0,0.0,255.0,793444.0,55.82668179228331,-0.032755498984192,-0.14220926673671455
