LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2611 ? ID2614,0,2611,2614,-1.0,NaN,0.0022358976617230875,1.3080001321080061,1297.5,95.64750966039847,224.19485597701382,0.0,
ID2619 ? ID2623,1,2619,2623,-1.0,NaN,0.014888177429674488,27.692010019194548,1680.0,98.11817657660251,182.12085172753936,0.0,
ID2623 ? ID2626,1,2623,2626,-1.0,9.438439054199863E-4,0.0019556782965779863,1.3787531990874804,2962.5,89.83417573991844,193.8928529165115,0.0,
ID2623 ? ID2630,1,2623,2630,-1.0,0.002002103277389971,0.002738186979638902,2.5875866957587625,3082.5,89.68884239190642,192.65751945840947,0.0,
ID2635 ? ID2638,2,2635,2638,-1.0,NaN,9.066956345540474E-4,0.8840282436901963,1207.5,98.40884327262651,191.93085271834948,0.0,
ID2643 ? ID2646,3,2643,2646,-1.0,NaN,4.844444933733409E-4,0.7266667400600113,1485.0,135.61418036369886,204.2841872993696,0.0,
ID2656 ? ID2659,4,2656,2659,-1.0,NaN,0.009195907267947969,1.5173246992114149,877.5,159.15818274164312,181.32151831347335,0.0,
ID2674 ? ID2677,6,2674,2677,-1.0,NaN,0.003976020773414301,2.1470512176437224,270.0,122.35251235760376,157.34151589149312,0.0,
ID2682 ? ID2686,7,2682,2686,-1.0,NaN,0.2075121309648688,71.59168518287974,562.5,122.46151236861276,192.87551948042744,0.0,
ID2686 ? ID2689,7,2686,2689,-1.0,0.007135429828503995,0.00822530899789768,1.9740741594954434,855.0,114.50451156495566,227.6465229922988,0.0,
ID2686 ? ID2693,7,2686,2693,-1.0,8.403731849318168E-5,0.00365892827495855,6.640954819049768,1642.5,112.21551133376664,230.58952328954183,0.0,
ID2698 ? ID2701,8,2698,2701,-1.0,NaN,0.03495370154533499,79.69443952336377,1155.0,99.24451002369551,182.30251841255438,0.0,
ID2709 ? ID2716,9,2709,2716,-1.0,0.0019941045179788486,0.003249752455524657,1.949851473314794,1515.0,108.94551100349662,226.4475228711998,0.0,
ID2706 ? ID2709,9,2706,2709,-1.0,NaN,0.005750765369576469,2.932890338483999,960.0,108.4005109484516,224.4855226730378,0.0,
