LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2008,2008,0,-1.0,98.5905099576415,85.87384200659137,0.0,1530.0,102,5.0,1,,143.88092775889962,144.0,93.0,214.0,973930.0,16.981886242948566,93.4174915053963,91.0,0.0,251.0,632343.0,28.41016951422651,-0.014699048279258223,-0.25279449480458993,0.015390619075564134,0.0996798359185977
ID2001,2001,0,-1.0,99.89851008974952,86.60050874665139,0.0,0.0,0,5.0,1,,144.34997784015383,144.0,79.0,205.0,977105.0,15.702369451686739,105.45501551189497,95.0,11.0,255.0,713825.0,40.95046983782337,-0.008579797986175771,-0.15911122668091388,0.051462176558408526,0.2520767798660057
ID2012,2012,0,-1.0,80.13317476011731,89.21650901086741,0.0,3555.0,237,5.0,1,,144.93765696557728,144.0,89.0,209.0,981083.0,16.944622340051364,95.32471561530664,95.0,0.0,255.0,645253.0,33.7309710716748,-0.006692413159828242,-0.11525992433182432,0.0379629872629053,0.20672127825151698
ID2005,2005,0,-1.0,98.7358433056535,85.87384200659137,0.0,105.0,7,5.0,1,,142.47200472743168,144.0,70.0,220.0,964393.0,18.908322686029933,105.86260895258044,99.0,0.0,255.0,716584.0,42.20995490980605,-0.018872727114060194,-0.2898783882106655,0.045544934505675316,0.21850183063529777
ID2020,2020,1,-1.0,112.10651132275764,86.01917535460338,0.0,3555.0,237,5.0,1,,144.35071650169726,144.0,76.0,210.0,977110.0,21.847808662535318,92.59477027626086,87.0,0.0,255.0,626774.0,39.19019109224791,-0.02439918152721552,-0.33047922079831976,0.05989627197947838,0.2670394966373613
ID2017,2017,1,-1.0,121.55317894353773,79.76984139008732,0.0,435.0,29,5.0,1,,145.39843403752343,144.0,76.0,220.0,984202.0,17.284422020776812,96.57881518688524,91.0,4.0,255.0,653742.0,33.74408757006815,-0.002973990773400194,-0.05018431403447186,0.04209937813862567,0.23124945800527602
ID2025,2025,2,-1.0,139.5745140970259,99.68051006773152,0.0,390.0,26,5.0,1,,142.23947407297985,142.0,66.0,220.0,962819.0,23.148331985666445,106.77884473334498,99.0,0.0,255.0,722786.0,41.79697342364233,-0.0250865598174987,-0.3162317585447469,0.06618330329920048,0.3171662306994463
