LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2005,2005,0,-1.0,99.97337568426515,118.2796440021572,0.0,2640.0,176,5.0,1,,155.98315851676728,155.0,127.0,191.0,1055850.0,8.64722724447376,0.01748467369063744,0.6199554598811613
ID2002,2002,0,-1.0,92.53417501324925,115.50817708550424,0.0,945.0,63,5.0,1,,136.51100605702456,136.0,90.0,188.0,924043.0,16.19519960529741,-0.01074641198733801,-0.18313325306433179
ID2016,2016,1,-1.0,79.11444046945587,109.3817765329029,0.0,3585.0,239,5.0,1,,137.53656374648946,137.0,107.0,173.0,930985.0,8.746725159479704,-9.666372461057149E-4,-0.030428897579940037
ID2009,2009,1,-1.0,73.42563995632607,109.3817765329029,0.0,1245.0,83,5.0,1,,146.18496085094,146.0,117.0,183.0,989526.0,8.796292848718233,0.026044800797822374,0.8436993760116884
ID2011,2011,1,-1.0,83.05284082469959,109.09004317325522,0.0,2430.0,162,5.0,1,,131.82700546609502,131.0,106.0,164.0,892337.0,8.12775161081845,-0.00332855164372985,-0.10833461446560336
ID2013,2013,1,-1.0,80.71897394751811,109.96524325219826,0.0,3585.0,239,5.0,1,,135.38336534199854,135.0,107.0,173.0,916410.0,8.228885931448989,-0.0026870348879347522,-0.08865354354557725
ID2024,2024,2,-1.0,118.35257734206915,163.35244806772414,0.0,3585.0,239,5.0,1,,167.54853006352747,167.0,124.0,204.0,1134136.0,10.25447711045394,0.018930312385674868,0.6071142072375211
ID2027,2027,2,-1.0,118.06084398242143,161.60204790983806,0.0,3585.0,239,5.0,1,,170.439060422513,171.0,124.0,204.0,1153702.0,10.007644185474842,0.020903393505559878,0.6974280653431665
ID2020,2020,2,-1.0,117.91497730259763,160.726847830895,0.0,1035.0,69,5.0,1,,174.2656226916819,174.0,136.0,220.0,1179604.0,12.016441224119683,0.02288689086681351,0.6489706222863112
ID2022,2022,2,-1.0,117.03977722365458,163.64418142737182,0.0,2625.0,175,5.0,1,,159.7066036342145,159.0,130.0,194.0,1081054.0,9.562020046342479,0.012396543831048726,0.4090281389737155
ID2033,2033,3,-1.0,141.98297947353143,147.3071132871016,0.0,2910.0,194,5.0,1,,137.1551189245066,137.0,104.0,171.0,928403.0,9.46691642870229,-0.017781243570943794,-0.5245505917610662
ID2031,2031,3,-1.0,145.7755131489513,145.70257980903938,0.0,1545.0,103,5.0,1,,136.7066036342138,136.0,104.0,178.0,925367.0,10.910210821973095,-0.02343230636613837,-0.6013108365187472
ID2121,2121,4,-1.0,139.68557926630592,167.1814484131,0.0,3315.0,221,5.0,1,,132.31186290441684,132.0,105.0,175.0,895619.0,8.411922486831614,-0.0143270669958372,-0.4572544899144024
ID2124,2124,4,-1.0,140.26904598560125,168.78598189116224,0.0,3315.0,221,5.0,1,,132.5216427832766,133.0,105.0,175.0,897039.0,8.27475045987526,-0.014073029557063504,-0.4571984544267299
ID2117,2117,4,-1.0,139.10211254701053,170.0987820095768,0.0,1635.0,109,5.0,1,,128.2814300487501,128.0,99.0,162.0,868337.0,7.1856592694540415,-0.01944364903176024,-0.7079985768932923
ID2119,2119,4,-1.0,138.51864582771518,170.828115408696,0.0,2115.0,141,5.0,1,,127.19249519869744,127.0,99.0,159.0,860966.0,7.6047276219411355,-0.02346415775193763,-0.8037566905046892
ID2128,2128,5,-1.0,92.86237504285289,199.27211797434504,0.0,0.0,0,5.0,1,,141.06647953907523,141.0,113.0,168.0,954879.0,7.56121671806845,0.0031778288923115417,0.11819925028891813
ID2130,2130,5,-1.0,119.70184413043965,200.73078477258346,0.0,3585.0,239,5.0,1,,149.54882552814246,149.0,119.0,179.0,1012296.0,8.032753881677417,0.010366201374809616,0.3820228788959679
ID2136,2136,6,-1.0,122.03571100762113,202.04358489099803,0.0,3585.0,239,5.0,1,,146.91919042694647,147.0,112.0,179.0,994496.0,8.609113981852918,0.0085691173891758,0.28998830997387565
ID2134,2134,6,-1.0,115.03411037607675,200.00145137346422,0.0,2295.0,153,5.0,1,,147.4638794504355,147.0,116.0,187.0,998183.0,8.65096281251835,0.014656285796002897,0.49244324050650456
ID2140,2140,7,-1.0,149.8962468539748,241.13585508378748,0.0,480.0,32,5.0,1,,134.43300339784278,137.0,76.0,178.0,909977.0,18.939292195469697,0.007849563793370623,0.11056609308393668
ID2142,2142,7,-1.0,155.29331400745693,242.44865520220205,0.0,1170.0,78,5.0,1,,153.0082730093087,155.0,108.0,191.0,1035713.0,13.950634516566405,0.030774763344187668,0.6549104085366608
ID2153,2153,8,-1.0,79.58850717888335,183.81024991301786,0.0,3585.0,239,5.0,1,,141.60437287634792,142.0,107.0,177.0,958520.0,10.420520638561046,0.009917631974035161,0.2668942862436486
ID2146,2146,8,-1.0,69.08610623156677,185.56065007090393,0.0,1680.0,112,5.0,1,,138.33934111390155,139.0,75.0,178.0,936419.0,11.238952636366724,0.03196846587510564,0.7626147949261982
ID2148,2148,8,-1.0,72.44103986751513,184.83131667178475,0.0,1890.0,126,5.0,1,,139.65696557837182,140.0,86.0,183.0,945338.0,11.787804946636838,0.02466490599797418,0.5703707670849784
ID2150,2150,8,-1.0,75.50424014381579,184.9771833516086,0.0,3585.0,239,5.0,1,,147.25350864234008,147.0,119.0,177.0,996759.0,9.009984112478529,0.029601709878062484,0.9397647801760025
