LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID3036 ? ID3039,0,3036,3039,-1.0,0.0015324546533786612,0.007720316238642415,5.906041922561448,2377.5,23.643025209523948,128.80168084868083,0.0,
ID3036 ? ID3043,0,3036,3043,-1.0,8.538322818145786E-4,0.0047879368780238355,3.662771711688234,2377.5,25.258779201418804,128.53238851669835,0.0,
ID3033 ? ID3036,0,3033,3036,-1.0,NaN,0.014436953171043357,22.088538351696336,1230.0,26.066656197366235,141.05448195388348,0.0,
ID3052 ? ID3055,1,3052,3055,-1.0,NaN,0.010841637153673901,16.75032940242618,772.5,109.95121760990752,158.28919120076196,0.0,
ID3055 ? ID3058,1,3055,3058,-1.0,0.0011848334169610793,0.019045503539951936,38.85282722150195,2565.0,96.62124717677496,163.405745508429,0.0,
ID3055 ? ID3062,1,3055,3062,-1.0,0.001230599550905129,0.019000159764913722,38.760325920423995,2565.0,97.96770883668734,164.61756100235016,0.0,
ID3067 ? ID3070,2,3067,3070,-1.0,NaN,0.01549250410146335,16.267129306536518,585.0,109.68192527792505,195.45153301434365,0.0,
ID3070 ? ID3073,2,3070,3073,-1.0,1.3412996505926674E-4,0.008709837159649424,7.185615656710774,1522.5,111.43232543581115,183.87196273909717,0.0,
ID3070 ? ID3077,2,3070,3077,-1.0,3.3616817265163867E-4,0.011143421753234642,10.363382230508217,1575.0,112.77878709572352,182.66014724517606,0.0,
ID3082 ? ID3085,3,3082,3085,-1.0,NaN,0.012987904788446546,33.31397578236539,2302.5,146.70962092551548,214.0327039211345,0.0,
ID3091 ? ID3094,4,3091,3094,-1.0,NaN,0.015395654505432748,40.41359307676096,2272.5,167.84906898613986,166.50260732622746,0.0,
ID3098 ? ID3101,5,3098,3101,-1.0,NaN,0.011763881486012972,24.35123467604685,1170.0,121.12684938718027,192.89325586051012,0.0,
ID3101 ? ID3108,5,3101,3108,-1.0,0.0022087765498310136,0.03171840260980466,43.77139560153043,2895.0,114.66383341960085,200.29879499002823,0.0,
ID3113 ? ID3116,6,3113,3116,-1.0,NaN,0.008679074015985134,30.33336368586804,1837.5,34.41471848882299,70.49989097447477,0.0,
ID3121 ? ID3124,7,3121,3124,-1.0,NaN,0.012392386610460175,44.42670599849973,1792.5,155.46162171494598,88.54247721730067,0.0,
ID3198 ? ID3201,8,3198,3201,-1.0,NaN,0.01926031159475675,60.958886197405114,1642.5,193.70113285645755,32.93361066291937,0.0,
ID3206 ? ID3213,10,3206,3213,-1.0,NaN,0.003112576074009869,11.15858522532538,1792.5,176.1971312775966,218.3413812328541,0.0,
ID3227 ? ID3230,11,3227,3230,-1.0,NaN,0.019407510978384977,40.75577305460845,2535.0,55.55416654944736,107.66223278805647,0.0,
ID3234 ? ID3237,12,3234,3237,-1.0,NaN,0.006792534079789924,24.35123467604688,1792.5,81.81016891773876,228.43984368219697,0.0,
ID3242 ? ID3245,13,3242,3245,-1.0,NaN,0.006661686496768236,23.882146090914127,1792.5,55.688812715438594,163.54039167442025,0.0,
ID3250 ? ID3253,14,3250,3253,-1.0,NaN,0.026931211398000383,44.436498806700634,2760.0,193.02790202650135,151.96082139917377,0.0,
ID3258 ? ID3261,15,3258,3261,-1.0,NaN,0.012336712769972136,44.227115280350105,1792.5,137.82297397009378,83.02198441165991,0.0,
