LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID3043,3043,0,-1.0,24.181609873488902,127.05128069079474,0.0,2760.0,184,5.0,1,,150.55488255281364,149.0,119.0,187.0,1019106.0,10.648837195616148,59.441276407149104,58.0,19.0,141.0,402358.0,9.84709419532398,0.0014310523353862868,0.04040704725909636,0.026308252810306767,0.3094740335588186
ID3033,3033,0,-1.0,25.79736386538376,152.095467565165,0.0,465.0,31,5.0,1,,166.5093810016205,167.0,142.0,188.0,1127102.0,5.927527918130161,60.97281725513416,60.0,26.0,141.0,412725.0,9.199546113589598,0.006724127021006795,0.3752498485863573,0.025159455857924395,0.3253191877219809
ID3036,3036,0,-1.0,26.33594852934871,130.01349634260197,0.0,1995.0,133,5.0,1,,161.51632442015196,162.0,129.0,192.0,1093304.0,9.075468699444489,63.66184074457205,61.0,37.0,154.0,430927.0,13.517101032060141,0.01664949286421781,0.5829175308284678,0.05491922997419456,0.49037786428960883
ID3039,3039,0,-1.0,20.95010188969919,127.5898653547597,0.0,2760.0,184,5.0,1,,159.25365637464708,159.0,126.0,197.0,1077988.0,10.916954086443951,59.576894666862415,58.0,19.0,141.0,403276.0,9.806884028014858,0.01609614316278005,0.462173401011277,0.028146155979127455,0.3326144041414614
ID3058,3058,1,-1.0,82.6180459136862,176.8703621075528,0.0,3585.0,239,5.0,1,,184.67159107696818,185.0,147.0,212.0,1250042.0,9.454202060891845,68.61353227951574,63.0,8.0,237.0,464445.0,24.02458539444891,0.023283418878809158,0.8889063752592898,0.08566866563977178,0.450721807036531
ID3052,3052,1,-1.0,109.27798677995132,166.63725349221872,0.0,0.0,0,5.0,1,,180.68385285862243,181.0,129.0,215.0,1223049.0,11.540422873282623,72.88373467277133,70.0,27.0,165.0,493350.0,13.651844470435362,-0.0017795236948304834,-0.05582193882596813,0.08477367161664848,0.834432362694219
ID3062,3062,1,-1.0,85.31096923351096,179.2939930953951,0.0,3585.0,239,5.0,1,,179.86644999261358,180.0,137.0,212.0,1217516.0,11.27821698269302,67.28925986113752,61.0,15.0,237.0,455481.0,24.001938053372733,0.01729786879568825,0.542355660263378,0.07104080002089169,0.3719043558653317
