Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID1176 : ID1179),0,1176,1179,-1,885.000,31.015,190.046,0,0.001,1.896,None
(ID1179 : ID1182),0,1179,1182,-1,1710.000,33.203,189.317,0,0.013,2.725,None
(ID1179 : ID1193),0,1179,1193,-1,2040.000,33.495,186.764,0,0.008,6.659,None
(ID1182 : ID1189),0,1182,1189,-1,2167.500,35.099,187.275,0,0.005,3.552,None
(ID1182 : ID1185),0,1182,1185,-1,2152.500,34.662,186.837,0,0.006,4.240,None
(ID1202 : ID1205),1,1202,1205,-1,780.000,19.929,187.056,0,0.002,0.923,None
(ID1205 : ID1212),1,1205,1212,-1,1845.000,22.701,182.826,0,0.006,11.009,None
(ID1205 : ID1208),1,1205,1208,-1,1747.500,23.284,182.388,0,0.008,12.381,None
(ID1217 : ID1220),2,1217,1220,-1,427.500,66.242,224.689,0,0.001,0.729,None
(ID1226 : ID1229),3,1226,1229,-1,457.500,76.161,223.741,0,0.005,2.585,None
(ID1229 : ID1232),3,1229,1232,-1,1897.500,77.984,221.845,0,0.001,3.278,None
(ID1229 : ID1236),3,1229,1236,-1,1897.500,77.401,221.043,0,0.002,4.668,None
(ID1241 : ID1244),4,1241,1244,-1,510.000,87.757,219.146,0,0.008,1.701,None
(ID1244 : ID1247),4,1244,1247,-1,1845.000,87.174,217.104,0,0.001,3.222,None
(ID1244 : ID1252),4,1244,1252,-1,1027.500,86.809,219.730,0,0.003,2.088,None
(ID1257 : ID1260),5,1257,1260,-1,375.000,64.637,209.155,0,6.150E-4,0.461,None
(ID1260 : ID1263),5,1260,1263,-1,1680.000,66.752,207.331,0,0.003,5.427,None
(ID1260 : ID1267),5,1260,1267,-1,1762.500,65.877,208.644,0,0.001,2.690,None
(ID1272 : ID1275),6,1272,1275,-1,1845.000,74.264,213.239,0,0.002,0.619,None
(ID1275 : ID1278),6,1275,1278,-1,2325.000,74.629,211.853,0,0.004,2.352,None
(ID1275 : ID1282),6,1275,1282,-1,2347.500,74.410,211.561,0,0.005,2.921,None
(ID1287 : ID1290),7,1287,1290,-1,667.500,80.464,231.472,0,0.001,0.934,None
(ID1290 : ID1297),7,1290,1297,-1,1440.000,81.047,231.035,0,0.002,1.756,None
(ID1290 : ID1293),7,1290,1293,-1,1440.000,78.932,230.816,0,0.003,2.547,None
(ID1302 : ID1305),8,1302,1305,-1,1545.000,85.788,239.860,0,0.008,4.330,None
(ID1305 : ID1308),8,1305,1308,-1,2212.500,83.308,237.890,0,0.003,2.073,None
(ID1305 : ID1312),8,1305,1312,-1,2205.000,83.527,238.911,0,0.001,0.979,None
(ID1317 : ID1320),9,1317,1320,-1,1477.500,97.311,223.814,0,0.002,2.188,None
(ID1320 : ID1323),9,1320,1323,-1,2550.000,97.165,225.492,0,0.002,1.902,None
(ID1320 : ID1327),9,1320,1327,-1,2550.000,96.655,226.367,0,0.003,3.355,None
(ID1332 : ID1335),10,1332,1335,-1,1027.500,100.447,220.605,0,0.003,1.750,None
(ID1335 : ID1338),10,1335,1338,-1,2197.500,99.426,221.043,0,0.002,3.892,None
(ID1335 : ID1342),10,1335,1342,-1,2205.000,100.156,220.970,0,0.001,2.445,None
(ID1347 : ID1350),11,1347,1350,-1,1072.500,66.971,205.216,0,0.027,2.806,None
(ID1350 : ID1353),11,1350,1353,-1,1612.500,70.034,205.216,0,0.003,3.383,None
(ID1350 : ID1357),11,1350,1357,-1,1642.500,69.597,205.435,0,0.003,2.630,None
(ID1362 : ID1365),12,1362,1365,-1,382.500,81.485,206.894,0,0.006,0.652,None
(ID1365 : ID1368),12,1365,1368,-1,1080.000,82.068,207.915,0,0.002,2.475,None
(ID1365 : ID1372),12,1365,1372,-1,1080.000,82.141,207.550,0,0.002,2.154,None
(ID1377 : ID1380),13,1377,1380,-1,997.500,93.081,228.044,0,7.257E-4,0.729,None
(ID1385 : ID1388),14,1385,1388,-1,832.500,52.895,193.036,0,0.002,3.892,None
(ID1388 : ID1395),14,1388,1395,-1,2370.000,53.843,188.150,0,0.004,6.067,None
(ID1388 : ID1391),14,1388,1391,-1,2370.000,55.156,186.837,0,0.007,9.347,None
(ID1400 : ID1403),15,1400,1403,-1,1575.000,89.435,235.119,0,5.730E-4,1.255,None
(ID1403 : ID1410),15,1403,1410,-1,2872.500,90.383,235.556,0,0.005,2.227,None
(ID1403 : ID1406),15,1403,1406,-1,2872.500,89.799,235.484,0,0.004,1.750,None
(ID1490 : ID1493),16,1490,1493,-1,1087.500,216.375,229.868,0,0.004,5.310,None
(ID1498 : ID1501),17,1498,1501,-1,1650.000,195.297,196.100,0,0.004,4.751,None
(ID1501 : ID1508),17,1501,1508,-1,2610.000,199.163,197.923,0,0.008,6.030,None
(ID1501 : ID1504),17,1501,1504,-1,2580.000,198.142,197.850,0,0.007,5.095,None
(ID1513 : ID1516),18,1513,1516,-1,885.000,184.211,212.072,0,0.005,1.111,None
(ID1516 : ID1523),18,1516,1523,-1,2032.500,183.774,211.416,0,2.522E-4,0.526,None
(ID1516 : ID1519),18,1516,1519,-1,2032.500,186.983,212.801,0,0.003,6.474,None
(ID1528 : ID1531),19,1528,1531,-1,465.000,209.957,155.184,0,0.006,2.088,None
(ID1531 : ID1534),19,1531,1534,-1,1102.500,211.197,152.194,0,0.005,4.388,None
