Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID1176,1176,0,-1,30.140,190.411,0,165,11,5,1,-10921639,111.416,111,63,172,754174,14.096,15.759,0.011,0.171
ID1179,1179,0,-1,31.890,189.681,0,1605,107,5,1,-10921639,111.739,112,58,171,756360,14.594,19.000,0.006,0.084
ID1182,1182,0,-1,34.516,188.952,0,1815,121,5,1,-10921639,108.902,109,63,163,737158,14.966,19.000,-3.216E-4,-0.005
ID1193,1193,0,-1,35.099,183.847,0,2475,165,5,1,-10921639,109.979,110,59,163,744450,14.942,13.220,-0.002,-0.030
ID1185,1185,0,-1,34.807,184.722,0,2490,166,5,1,-10921639,110.828,110,55,171,750198,14.926,12.987,0.004,0.056
ID1189,1189,0,-1,35.683,185.597,0,2520,168,5,1,-10921639,109.886,110,52,169,743819,15.966,19.000,-0.006,-0.086
ID1202,1202,1,-1,20.075,186.618,0,570,38,5,1,-10921639,105.883,106,57,162,716722,13.568,17.495,-0.022,-0.353
ID1205,1205,1,-1,19.783,187.493,0,990,66,5,1,-10921639,108.179,108,61,162,732263,14.313,18.460,-0.008,-0.117
ID1208,1208,1,-1,26.785,177.283,0,2505,167,5,1,-10921639,110.863,111,63,164,750434,15.027,6.083,0.017,0.245
ID1212,1212,1,-1,25.618,178.158,0,2700,180,5,1,-10921639,107.782,108,52,157,729578,14.748,19.000,-0.011,-0.156
ID1217,1217,2,-1,65.877,224.689,0,150,10,5,1,-10921639,110.510,110,63,175,748044,16.041,5.416,0.004,0.061
ID1220,1220,2,-1,66.606,224.689,0,705,47,5,1,-10921639,110.043,109,51,175,744882,15.252,2.000,-0.005,-0.074
ID1226,1226,3,-1,74.921,224.106,0,195,13,5,1,-10921639,109.608,109,58,176,741939,14.724,17.569,-0.002,-0.033
ID1229,1229,3,-1,77.401,223.377,0,720,48,5,1,-10921639,108.605,108,57,170,735146,14.804,16.022,-0.003,-0.040
ID1232,1232,3,-1,78.567,220.313,0,3075,205,5,1,-10921639,109.397,109,59,168,740506,15.261,16.807,-5.334E-4,-0.008
ID1236,1236,3,-1,77.401,218.709,0,3075,205,5,1,-10921639,110.450,110,59,167,747638,15.571,10.486,0.008,0.115
ID1241,1241,4,-1,88.486,219.584,0,405,27,5,1,-10921639,109.121,109,57,165,738638,15.149,15.824,-0.003,-0.040
ID1244,1244,4,-1,87.028,218.709,0,615,41,5,1,-10921639,108.628,109,53,170,735302,15.605,19.000,-0.008,-0.119
ID1252,1252,4,-1,86.590,220.751,0,1440,96,5,1,-10921639,108.569,108,59,168,734904,14.674,19.000,-0.008,-0.125
ID1247,1247,4,-1,87.319,215.500,0,3075,205,5,1,-10921639,110.376,109,51,197,747134,18.792,19.000,0.003,0.034
ID1257,1257,5,-1,64.710,209.373,0,0,0,5,1,-10921639,110.566,110,53,161,748424,14.885,7.623,0.005,0.081
ID1260,1260,5,-1,64.564,208.936,0,750,50,5,1,-10921639,110.734,111,64,162,749556,13.980,19.000,0.008,0.120
ID1263,1263,5,-1,68.940,205.727,0,2610,174,5,1,-10921639,109.980,110,62,176,744455,15.453,14.964,0.011,0.157
ID1267,1267,5,-1,67.190,208.352,0,2775,185,5,1,-10921639,109.482,109,48,165,741084,15.552,19.000,0.004,0.053
ID1272,1272,6,-1,74.046,213.458,0,1650,110,5,1,-10921639,107.384,107,56,162,726879,14.805,17.856,-0.010,-0.144
ID1275,1275,6,-1,74.483,213.020,0,2040,136,5,1,-10921639,108.124,108,62,175,731888,14.804,16.938,-0.005,-0.068
ID1278,1278,6,-1,74.775,210.686,0,2610,174,5,1,-10921639,108.385,108,56,174,733658,16.272,19.000,-0.006,-0.077
ID1282,1282,6,-1,74.337,210.103,0,2655,177,5,1,-10921639,107.630,107,42,169,728550,16.079,18.011,-0.010,-0.133
ID1287,1287,7,-1,80.755,231.837,0,345,23,5,1,-10921639,111.137,111,62,177,752286,15.465,19.000,0.010,0.146
ID1290,1290,7,-1,80.172,231.108,0,990,66,5,1,-10921639,110.359,110,57,166,747021,14.365,18.159,0.006,0.093
ID1297,1297,7,-1,81.922,230.962,0,1890,126,5,1,-10921639,111.242,111,62,173,752998,15.081,8.733,0.014,0.199
ID1293,1293,7,-1,77.692,230.524,0,1890,126,5,1,-10921639,111.147,111,54,173,752357,15.107,18.091,0.007,0.107
ID1302,1302,8,-1,87.611,241.026,0,1260,84,5,1,-10921639,107.171,107,58,163,725441,13.847,15.842,-0.012,-0.181
ID1305,1305,8,-1,83.965,238.693,0,1830,122,5,1,-10921639,108.027,108,61,170,731232,13.875,16.873,-0.003,-0.041
ID1312,1312,8,-1,83.089,239.130,0,2580,172,5,1,-10921639,109.506,110,61,167,741243,14.160,19.000,0.001,0.021
ID1308,1308,8,-1,82.652,237.088,0,2595,173,5,1,-10921639,107.212,107,49,167,725721,14.314,19.000,-0.013,-0.195
ID1317,1317,9,-1,97.968,222.939,0,930,62,5,1,-10921639,112.551,112,58,170,761858,15.003,18.238,0.010,0.141
ID1320,1320,9,-1,96.655,224.689,0,2025,135,5,1,-10921639,112.429,112,55,169,761030,14.988,19.000,0.010,0.146
ID1323,1323,9,-1,97.676,226.294,0,3075,205,5,1,-10921639,111.214,111,48,170,752808,16.410,17.554,6.725E-4,0.009
ID1327,1327,9,-1,96.655,228.044,0,3075,205,5,1,-10921639,111.421,111,54,167,754208,16.028,6.776,0.007,0.092
ID1332,1332,10,-1,99.572,220.605,0,690,46,5,1,-10921639,111.274,111,55,167,753214,14.834,16.280,0.005,0.074
ID1335,1335,10,-1,101.323,220.605,0,1365,91,5,1,-10921639,111.428,111,48,168,754253,15.450,17.367,0.004,0.062
ID1338,1338,10,-1,97.530,221.480,0,3030,202,5,1,-10921639,115.497,115,55,186,781796,17.445,7.757,0.025,0.324
ID1342,1342,10,-1,98.989,221.334,0,3045,203,5,1,-10921639,114.262,114,56,177,773438,17.554,17.939,0.022,0.274
ID1347,1347,11,-1,65.585,205.435,0,1020,68,5,1,-10921639,108.794,109,59,165,736426,15.472,11.422,0.002,0.026
ID1350,1350,11,-1,68.357,204.997,0,1125,75,5,1,-10921639,112.618,112,57,180,762310,15.707,8.468,0.014,0.196
ID1353,1353,11,-1,71.712,205.435,0,2100,140,5,1,-10921639,109.018,109,38,176,737940,15.707,13.689,0.004,0.058
ID1357,1357,11,-1,70.837,205.873,0,2160,144,5,1,-10921639,109.267,108,58,195,739626,17.172,14.797,0.008,0.105
ID1362,1362,12,-1,81.777,206.748,0,330,22,5,1,-10921639,109.815,110,58,164,743340,15.027,8.855,0.004,0.056
ID1365,1365,12,-1,81.193,207.040,0,435,29,5,1,-10921639,110.582,110,56,167,748527,15.507,9.958,0.010,0.136
ID1368,1368,12,-1,82.943,208.790,0,1725,115,5,1,-10921639,109.873,110,50,166,743731,15.595,19.000,0.004,0.053
ID1372,1372,12,-1,83.089,208.061,0,1725,115,5,1,-10921639,109.897,110,50,166,743896,15.629,13.105,0.005,0.076
ID1377,1377,13,-1,93.300,228.336,0,495,33,5,1,-10921639,109.332,109,47,171,740067,15.389,19.000,-0.004,-0.053
ID1380,1380,13,-1,92.862,227.753,0,1500,100,5,1,-10921639,108.893,109,52,167,737098,16.071,19.000,-0.008,-0.111
ID1385,1385,14,-1,52.457,194.933,0,0,0,5,1,-10921639,110.545,110,49,179,748281,14.862,19.000,8.204E-4,0.012
ID1388,1388,14,-1,53.333,191.140,0,1665,111,5,1,-10921639,111.087,111,62,175,751951,14.088,12.043,0.007,0.105
ID1395,1395,14,-1,54.354,185.160,0,3075,205,5,1,-10921639,109.648,109,55,165,742210,15.619,14.437,-0.002,-0.022
ID1391,1391,14,-1,56.979,182.534,0,3075,205,5,1,-10921639,109.312,109,54,165,739936,15.814,19.000,-0.008,-0.114
ID1400,1400,15,-1,89.070,235.629,0,480,32,5,1,-10921639,109.421,109,56,167,740674,14.269,16.582,0.006,0.092
ID1403,1403,15,-1,89.799,234.608,0,2670,178,5,1,-10921639,109.082,109,56,171,738376,14.823,10.238,0.008,0.115
ID1410,1410,15,-1,90.966,236.505,0,3075,205,5,1,-10921639,107.313,107,42,169,726404,14.600,15.080,-0.004,-0.058
ID1406,1406,15,-1,89.799,236.359,0,3075,205,5,1,-10921639,107.633,108,42,169,728566,14.680,15.240,-0.002,-0.022
ID1490,1490,16,-1,214.770,231.983,0,495,33,5,1,-10921639,109.987,110,61,159,744501,13.720,19.000,0.009,0.146
ID1493,1493,16,-1,217.980,227.753,0,1680,112,5,1,-10921639,109.511,109,58,169,741282,14.064,17.890,0.006,0.095
ID1498,1498,17,-1,193.036,196.829,0,1080,72,5,1,-10921639,107.187,107,58,164,725547,14.804,15.055,-0.016,-0.239
ID1501,1501,17,-1,197.558,195.370,0,2220,148,5,1,-10921639,111.549,111,60,163,755078,14.378,19.000,0.006,0.086
ID1504,1504,17,-1,198.725,200.330,0,2940,196,5,1,-10921639,112.516,113,60,170,761622,15.309,12.979,0.007,0.106
ID1508,1508,17,-1,200.767,200.476,0,3000,200,5,1,-10921639,112.151,112,57,194,759148,15.882,17.912,0.004,0.054
ID1513,1513,18,-1,184.430,212.582,0,780,52,5,1,-10921639,110.669,111,59,170,749116,15.048,17.094,-0.003,-0.049
ID1516,1516,18,-1,183.993,211.561,0,990,66,5,1,-10921639,110.357,110,52,169,747006,15.382,15.578,-3.347E-4,-0.005
ID1523,1523,18,-1,183.555,211.270,0,3075,205,5,1,-10921639,110.773,111,58,177,749823,15.880,19.000,-0.002,-0.027
ID1519,1519,18,-1,189.973,214.041,0,3075,205,5,1,-10921639,110.749,110,52,177,749659,16.919,17.959,-0.011,-0.149
ID1528,1528,19,-1,209.519,156.132,0,300,20,5,1,-10921639,108.440,109,60,163,734028,14.219,18.071,-0.009,-0.136
ID1531,1531,19,-1,210.394,154.236,0,630,42,5,1,-10921639,109.178,109,62,167,739025,13.939,19.000,-0.002,-0.034
ID1534,1534,19,-1,211.999,150.152,0,1575,105,5,1,-10921639,109.487,110,57,170,741120,14.514,15.221,-0.001,-0.017
ID1538,1538,19,-1,215.792,152.340,0,3075,205,5,1,-10921639,112.835,113,62,167,763778,14.663,19.000,0.012,0.186
ID1543,1543,20,-1,223.231,217.542,0,1500,100,5,1,-10921639,106.857,107,60,164,723315,14.123,2.000,-0.013,-0.205
ID1546,1546,20,-1,222.647,224.981,0,2610,174,5,1,-10921639,108.132,108,59,167,731948,14.900,2.000,6.117E-4,0.009
ID1551,1551,21,-1,187.348,207.040,0,585,39,5,1,-10921639,111.565,111,51,169,755184,15.105,15.959,0.004,0.053
ID1554,1554,21,-1,194.349,208.061,0,2610,174,5,1,-10921639,112.896,113,60,191,764195,15.441,18.046,0.006,0.088
ID1561,1561,21,-1,191.724,211.999,0,3075,205,5,1,-10921639,110.534,110,52,177,748207,16.320,14.612,-0.010,-0.143
ID1557,1557,21,-1,193.036,210.249,0,3075,205,5,1,-10921639,112.215,112,52,170,759581,15.951,17.449,-0.001,-0.019
ID1566,1566,22,-1,201.934,187.639,0,585,39,5,1,-10921639,110.653,110,55,163,749010,13.754,6.300,0.017,0.265
ID1569,1569,22,-1,205.581,185.597,0,1650,110,5,1,-10921639,109.636,109,57,167,742124,13.710,7.158,0.010,0.166
ID1572,1572,22,-1,209.519,186.618,0,2610,174,5,1,-10921639,105.409,105,51,166,713513,13.618,16.092,-0.018,-0.290
ID1576,1576,22,-1,209.228,183.701,0,2835,189,5,1,-10921639,107.396,107,56,170,726962,14.471,19.000,-0.002,-0.026
ID1581,1581,23,-1,208.644,166.343,0,1485,99,5,1,-10921639,113.836,114,60,169,770559,14.544,11.049,0.012,0.188
ID1584,1584,23,-1,208.644,166.343,0,1500,100,5,1,-10921639,113.315,113,62,170,767030,14.346,9.905,0.011,0.172
ID1587,1587,23,-1,210.540,165.322,0,2535,169,5,1,-10921639,113.325,113,48,183,767098,15.558,16.068,0.014,0.208
ID1591,1591,23,-1,214.187,164.592,0,3075,205,5,1,-10921639,113.397,113,46,179,767583,15.520,17.771,0.006,0.088
ID1596,1596,24,-1,218.563,167.656,0,2115,141,5,1,-10921639,112.503,113,58,171,761531,15.149,19.000,0.006,0.084
ID1599,1599,24,-1,221.189,171.448,0,3075,205,5,1,-10921639,112.994,112,56,180,764857,15.797,6.789,0.009,0.122
ID1604,1604,25,-1,199.454,184.138,0,705,47,5,1,-10921639,108.143,108,60,162,732019,13.345,12.872,-3.460E-4,-0.006
ID1607,1607,25,-1,202.809,182.388,0,3075,205,5,1,-10921639,108.925,109,62,161,737316,13.911,19.000,0.004,0.062
ID1612,1612,26,-1,198.725,226.732,0,405,27,5,1,-10921639,110.330,110,58,169,746827,14.295,11.574,0.001,0.017
ID1615,1615,26,-1,204.706,222.647,0,1215,81,5,1,-10921639,108.815,109,60,167,736567,13.931,19.000,-0.003,-0.050
ID1620,1620,27,-1,213.604,207.769,0,900,60,5,1,-10921639,108.587,109,59,161,735027,13.177,17.348,-0.006,-0.104
ID1623,1623,27,-1,219.292,210.103,0,2820,188,5,1,-10921639,106.576,106,60,173,721413,13.793,14.676,-0.013,-0.200
ID1626,1626,27,-1,217.688,211.999,0,2940,196,5,1,-10921639,105.380,105,53,150,713319,13.829,15.815,-0.015,-0.234
ID1630,1630,27,-1,219.146,212.291,0,3075,205,5,1,-10921639,106.796,107,46,171,722905,15.538,17.051,-0.010,-0.143
ID1635,1635,28,-1,219.876,241.610,0,645,43,5,1,-10921639,110.595,110,67,173,748620,13.462,19.000,0.003,0.048
ID1638,1638,28,-1,221.626,237.963,0,2400,160,5,1,-10921639,110.122,110,62,164,745419,14.736,19.000,-0.004,-0.053
ID1643,1643,29,-1,222.064,192.599,0,315,21,5,1,-10921639,107.702,108,59,163,729032,14.025,16.694,-0.006,-0.099
ID1646,1646,29,-1,221.918,192.745,0,525,35,5,1,-10921639,107.900,108,61,169,730373,13.609,18.189,-0.004,-0.057
ID1649,1649,29,-1,226.148,189.098,0,1710,114,5,1,-10921639,109.672,109,58,169,742370,14.794,4.154,0.001,0.015
ID1653,1653,29,-1,228.190,188.369,0,1830,122,5,1,-10921639,110.121,110,60,169,745410,14.269,19.000,0.002,0.028
ID1658,1658,30,-1,177.429,218.709,0,825,55,5,1,-10921639,110.793,111,62,170,749956,15.506,14.141,-0.002,-0.034
ID1661,1661,30,-1,184.284,222.064,0,3075,205,5,1,-10921639,112.206,112,47,179,759523,15.532,18.009,0.003,0.036
ID1791,1791,31,-1,186.326,235.338,0,510,34,5,1,-10921639,109.699,109,51,160,742554,14.090,5.615,8.313E-4,0.013
ID1794,1794,31,-1,189.827,232.858,0,1095,73,5,1,-10921639,108.032,108,62,162,731266,13.852,2.587,-0.009,-0.137
