LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID3268 ? ID3273,0,3268,3273,-1.0,0.00829993876818019,0.004659539747399567,0.978503346953909,1770.0,63.579633333333334,101.39556666666667,0.0,
ID3268 ? ID3270,0,3268,3270,-1.0,0.006292536695655684,0.010872259410599024,1.304671129271883,1725.0,62.8503,100.5933,0.0,
ID3266 ? ID3268,0,3266,3268,-1.0,NaN,0.0021151287631014956,1.5228927094330769,1305.0,62.92323333333334,101.9061,0.0,
ID3278 ? ID3283,1,3278,3283,-1.0,0.0012074762665605866,0.0013281229182690792,3.3070260664900073,2250.0,54.317099999999996,101.39556666666667,0.0,
ID3276 ? ID3278,1,3276,3278,-1.0,NaN,0.01001770944852717,1.0518594920953528,952.5,53.51483333333333,100.5933,0.0,
ID3278 ? ID3280,1,3278,3280,-1.0,9.108856246170687E-4,5.539240506329096E-4,1.3127999999999957,2190.0,53.07723333333333,100.95796666666666,0.0,
ID3299 ? ID3304,2,3299,3304,-1.0,0.0012524308435383489,0.003303931676816169,2.775302608525582,2850.0,75.3219,93.95636666666667,0.0,
ID3291 ? ID3293,2,3291,3293,-1.0,6.515469169158696E-4,0.002148818940605785,2.0628661829815536,2925.0,67.37216666666667,97.38423333333333,0.0,
ID3299 ? ID3301,2,3299,3301,-1.0,9.598342779557199E-4,0.004396369331230477,1.780529579148343,2632.5,74.6655,93.3729,0.0,
ID3289 ? ID3299,2,3289,3299,-1.0,1.6988943139986052E-4,0.001926750134702648,2.4277051697253365,1800.0,73.27976666666666,94.9045,0.0,
ID3291 ? ID3296,2,3291,3296,-1.0,7.072321760058039E-4,0.003362912500312324,3.5310581253279403,2970.0,67.0075,98.04063333333333,0.0,
ID3289 ? ID3291,2,3289,3291,-1.0,0.001973417735961226,0.003592397051839936,4.5803062410959186,1807.5,70.36243333333334,96.29023333333333,0.0,
ID3287 ? ID3289,2,3287,3289,-1.0,NaN,0.0037506657872392185,0.618859854894471,1087.5,72.40456666666667,96.14436666666667,0.0,
ID3308 ? ID3310,3,3308,3310,-1.0,NaN,0.0016401994115449682,2.681726037876023,2077.5,82.03176666666667,83.89156666666666,0.0,
