LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID3273,3273,0,-1.0,64.01723333333334,101.61436666666667,0.0,1875.0,125,5.0,1,,86.1294135027363,85.0,45.0,126.0,583010.0,10.310104824446583,-0.006322014717239445,-0.10629876993769365
ID3266,3266,0,-1.0,62.70443333333334,102.63543333333332,0.0,945.0,63,5.0,1,,82.1156743979919,82.0,54.0,112.0,555841.0,8.318003869835685,-0.008476713505108875,-0.16879575809911526
ID3268,3268,0,-1.0,63.14203333333334,101.17676666666667,0.0,1665.0,111,5.0,1,,85.383808538932,85.0,52.0,128.0,577963.0,8.766413728855317,-0.005860023944820651,-0.11482472335395098
ID3270,3270,0,-1.0,62.55856666666666,100.00983333333333,0.0,1785.0,119,5.0,1,,84.9321908701472,85.0,57.0,134.0,574906.0,8.993364013425893,-0.006742109118911732,-0.12820763936148752
ID3280,3280,1,-1.0,53.07723333333333,101.61436666666667,0.0,3375.0,225,5.0,1,,81.98714728911388,82.0,47.0,129.0,554971.0,9.64184176188309,-0.0029535073020435245,-0.05037770863551992
ID3283,3283,1,-1.0,55.55696666666666,102.48956666666666,0.0,3495.0,233,5.0,1,,83.76229871473241,84.0,48.0,124.0,566987.0,10.210162584926692,0.0014956498653211018,0.024503425083123892
ID3276,3276,1,-1.0,53.95243333333333,100.88503333333333,0.0,900.0,60,5.0,1,,79.78549268725153,80.0,43.0,115.0,540068.0,9.158220926957725,0.003179117888592905,0.05521676518688965
ID3278,3278,1,-1.0,53.07723333333333,100.30156666666667,0.0,1005.0,67,5.0,1,,80.2514403900144,80.0,46.0,112.0,543222.0,8.611990380742201,0.004136995134754991,0.07678410701274445
ID3296,3296,2,-1.0,65.9135,99.42636666666667,0.0,3495.0,233,5.0,1,,91.04461515733404,91.0,50.0,132.0,616281.0,11.403118263016754,0.0026132980765298124,0.041621345917135094
ID3299,3299,2,-1.0,73.93616666666667,93.88343333333333,0.0,2430.0,162,5.0,1,,94.07549120992552,94.0,63.0,146.0,636797.0,9.601874016687965,0.014659136127998136,0.28309923417075505
ID3301,3301,2,-1.0,75.39483333333332,92.86236666666667,0.0,2835.0,189,5.0,1,,96.25483823311964,96.0,50.0,141.0,651549.0,11.654764724661465,0.014315478012878266,0.23312124558523947
ID3287,3287,2,-1.0,72.18576666666667,96.36316666666667,0.0,1005.0,67,5.0,1,,92.61678239030655,92.0,60.0,129.0,626923.0,9.999585788706197,0.019199515944136544,0.34895445305332046
ID3304,3304,2,-1.0,76.70763333333333,94.02929999999999,0.0,3270.0,218,5.0,1,,95.74915053922078,96.0,57.0,140.0,648126.0,11.94641835807815,0.005389637109794772,0.08593148679376644
ID3289,3289,2,-1.0,72.62336666666667,95.92556666666667,0.0,1170.0,78,5.0,1,,94.14359580439891,94.0,44.0,133.0,637258.0,11.28367317284536,0.02109939757810214,0.34480401559153123
ID3291,3291,2,-1.0,68.1015,96.6549,0.0,2445.0,163,5.0,1,,88.48293691830511,88.0,50.0,138.0,598941.0,9.622486156736922,-0.0023477236898056166,-0.04327828219551511
ID3293,3293,2,-1.0,66.64283333333334,98.11356666666667,0.0,3405.0,227,5.0,1,,89.26059979317421,89.0,52.0,130.0,604205.0,10.198693175544342,-0.004423976253843021,-0.07778280994783221
ID3312,3312,3,-1.0,79.77083333333333,84.8397,0.0,3165.0,211,5.0,1,,97.86201802334043,98.0,65.0,131.0,662428.0,8.946098149976748,-0.012006423916240795,-0.2658704413438569
ID3315,3315,3,-1.0,81.6671,86.1525,0.0,3240.0,216,5.0,1,,97.74590042842172,97.0,62.0,145.0,661642.0,11.681152030370692,-0.019376417751265234,-0.330684643314455
ID3308,3308,3,-1.0,83.27163333333333,84.4021,0.0,1260.0,84,5.0,1,,102.67617077854929,102.0,67.0,144.0,695015.0,10.863094461004364,1.5590367692893157E-4,0.0029466920979640825
ID3310,3310,3,-1.0,80.7919,83.38103333333332,0.0,2895.0,193,5.0,1,,97.78091298566868,98.0,66.0,134.0,661879.0,9.593188687907215,-0.006358192098209917,-0.1304442336370017
ID3321,3321,4,-1.0,96.25376666666666,60.04236666666666,0.0,1575.0,105,5.0,1,,108.61752105185354,108.0,72.0,144.0,735232.0,9.499057141864292,-0.01418486193671308,-0.3290629695028954
ID3323,3323,4,-1.0,95.37856666666667,59.4589,0.0,1905.0,127,5.0,1,,106.67750036933194,106.0,68.0,151.0,722100.0,10.683435008715042,-0.012819137305941529,-0.25933073197088985
ID3326,3326,4,-1.0,95.6703,60.479966666666655,0.0,1980.0,132,5.0,1,,109.37937656965657,109.0,73.0,151.0,740389.0,11.237258091293082,0.0051374760783058524,0.09950145482200733
ID3319,3319,4,-1.0,95.37856666666667,61.2093,0.0,720.0,48,5.0,1,,106.88137095582923,107.0,70.0,153.0,723480.0,9.37572488038823,-0.009656664271345974,-0.22231486662840416
ID3337,3337,5,-1.0,86.62656666666666,105.69863333333333,0.0,2055.0,137,5.0,1,,97.81045944747991,98.0,59.0,134.0,662079.0,9.698162034559406,0.006608130330722347,0.1324170854633169
ID3330,3330,5,-1.0,87.35589999999999,107.88663333333332,0.0,1500.0,100,5.0,1,,98.3916383513064,98.0,61.0,143.0,666013.0,9.401086768909561,0.005958635904116154,0.12398720005180458
